;;;;DEMANDANTES DE EMPLEO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Dtes Empleo;Dtes Empleo hombre edad < 25;Dtes Empleo hombre edad 25 -45 ;Dtes Empleo hombre edad >=45;Dtes Empleo mujer edad < 25;Dtes Empleo mujer edad 25 -45 ;Dtes Empleo mujer edad >=45;Dtes EmpleoAgricultura;Dtes Empleo Industria;Dtes Empleo Construcción;Dtes Empleo Servicios;Dtes Empleo Sin empleo Anterior
201601;Enero de 2016;1;Andalucía;4;Almería;4086;Sorbas;350;26;64;73;15;81;91;94;28;36;154;38
201601;Enero de 2016;1;Andalucía;4;Almería;4087;Suflí;22;0;3;4;1;8;6;0;2;7;13;0
201601;Enero de 2016;1;Andalucía;4;Almería;4088;Tabernas;778;31;139;180;29;191;208;267;33;53;398;27
201601;Enero de 2016;1;Andalucía;4;Almería;4089;Taberno;117;9;16;20;8;23;41;31;2;19;54;11
201601;Enero de 2016;1;Andalucía;4;Almería;4090;Tahal;38;2;9;10;0;4;13;6;3;5;21;3
201601;Enero de 2016;1;Andalucía;4;Almería;4091;Terque;60;1;14;18;3;5;19;7;2;2;46;3
201601;Enero de 2016;1;Andalucía;4;Almería;4092;Tíjola;472;17;72;103;28;114;138;88;39;46;256;43
201601;Enero de 2016;1;Andalucía;4;Almería;4093;Turre;436;20;92;97;12;115;100;32;11;63;307;23
201601;Enero de 2016;1;Andalucía;4;Almería;4094;Turrillas;30;2;3;13;0;3;9;4;0;2;24;0
201601;Enero de 2016;1;Andalucía;4;Almería;4095;Uleila del Campo;142;4;23;35;3;31;46;30;3;17;81;11
201601;Enero de 2016;1;Andalucía;4;Almería;4096;Urrácal;43;1;10;9;1;7;15;14;1;4;19;5
201601;Enero de 2016;1;Andalucía;4;Almería;4097;Velefique;24;1;5;9;1;4;4;5;0;11;7;1
201601;Enero de 2016;1;Andalucía;4;Almería;4098;Vélez-Blanco;232;11;47;63;11;38;62;63;10;23;123;13
201601;Enero de 2016;1;Andalucía;4;Almería;4099;Vélez-Rubio;816;39;142;188;47;191;209;157;43;83;464;69
201601;Enero de 2016;1;Andalucía;4;Almería;4100;Vera;1819;68;360;359;75;542;415;278;59;191;1182;109
201601;Enero de 2016;1;Andalucía;4;Almería;4101;Viator;705;39;149;146;38;202;131;40;24;97;473;71
201601;Enero de 2016;1;Andalucía;4;Almería;4102;Vícar;2833;153;665;616;122;737;540;715;98;300;1473;247
201601;Enero de 2016;1;Andalucía;4;Almería;4103;Zurgena;278;17;43;63;14;68;73;63;3;36;152;24
201601;Enero de 2016;1;Andalucía;4;Almería;4901;Tres Villas, Las;86;2;15;29;6;7;27;26;4;5;50;1
201601;Enero de 2016;1;Andalucía;4;Almería;4902;Ejido, El;9159;358;2160;1981;377;2546;1737;3222;276;663;4106;892
201601;Enero de 2016;1;Andalucía;4;Almería;4903;Mojonera, La;947;46;206;224;55;230;186;414;21;80;308;124
201601;Enero de 2016;1;Andalucía;4;Almería;4904;Balanegra;259;11;50;77;11;68;42;89;5;24;122;19
201601;Enero de 2016;1;Andalucía;11;Cádiz;11001;Alcalá de los Gazules;1188;66;259;229;80;299;255;215;28;80;752;113
201601;Enero de 2016;1;Andalucía;11;Cádiz;11002;Alcalá del Valle;1373;67;221;310;53;332;390;586;13;34;696;44
201601;Enero de 2016;1;Andalucía;11;Cádiz;11003;Algar;308;21;45;46;23;84;89;39;12;20;216;21
201601;Enero de 2016;1;Andalucía;11;Cádiz;11004;Algeciras;17530;920;3388;3282;911;4714;4315;337;910;1791;11477;3015
201601;Enero de 2016;1;Andalucía;11;Cádiz;11005;Algodonales;1376;64;284;302;67;337;322;560;19;63;671;63
201601;Enero de 2016;1;Andalucía;11;Cádiz;11006;Arcos de la Frontera;8451;442;1563;1708;406;2170;2162;1324;327;1134;4943;723
201601;Enero de 2016;1;Andalucía;11;Cádiz;11007;Barbate;5729;311;1252;1172;301;1421;1272;557;415;489;3540;728
201601;Enero de 2016;1;Andalucía;11;Cádiz;11008;Barrios, Los;3160;183;560;573;190;893;761;119;214;348;2061;418
201601;Enero de 2016;1;Andalucía;11;Cádiz;11009;Benaocaz;131;2;24;29;6;30;40;2;14;3;106;6
201601;Enero de 2016;1;Andalucía;11;Cádiz;11010;Bornos;2329;134;383;456;114;618;624;904;35;165;1105;120
201601;Enero de 2016;1;Andalucía;11;Cádiz;11011;Bosque, El;397;19;84;83;17;103;91;20;31;23;298;25
201601;Enero de 2016;1;Andalucía;11;Cádiz;11012;Cádiz;19394;777;4213;3982;765;5005;4652;135;1563;1388;13689;2619
201601;Enero de 2016;1;Andalucía;11;Cádiz;11013;Castellar de la Frontera;448;32;61;77;24;125;129;37;23;26;307;55
201601;Enero de 2016;1;Andalucía;11;Cádiz;11014;Conil de la Frontera;3948;203;912;801;178;1132;722;187;106;348;2955;352
201601;Enero de 2016;1;Andalucía;11;Cádiz;11015;Chiclana de la Frontera;16132;791;3464;3140;752;4495;3490;172;983;2410;9861;2706
201601;Enero de 2016;1;Andalucía;11;Cádiz;11016;Chipiona;4611;258;951;851;282;1215;1054;742;149;461;2780;479
201601;Enero de 2016;1;Andalucía;11;Cádiz;11017;Espera;1160;64;208;234;52;307;295;366;12;117;606;59
201601;Enero de 2016;1;Andalucía;11;Cádiz;11018;Gastor, El;471;31;84;97;11;103;145;167;4;63;224;13
201601;Enero de 2016;1;Andalucía;11;Cádiz;11019;Grazalema;451;26;81;117;19;95;113;59;17;31;312;32
201601;Enero de 2016;1;Andalucía;11;Cádiz;11020;Jerez de la Frontera;39705;1806;7406;8355;1675;9783;10680;2071;2404;4308;25253;5669
201601;Enero de 2016;1;Andalucía;11;Cádiz;11021;Jimena de la Frontera;1475;70;274;344;71;389;327;196;51;128;921;179
201601;Enero de 2016;1;Andalucía;11;Cádiz;11022;Línea de la Concepción, La;10514;520;2001;2389;500;2506;2598;132;903;1585;5917;1977
201601;Enero de 2016;1;Andalucía;11;Cádiz;11023;Medina-Sidonia;2753;109;569;572;124;769;610;433;110;425;1477;308
201601;Enero de 2016;1;Andalucía;11;Cádiz;11024;Olvera;1811;87;284;405;75;413;547;693;27;343;670;78
201601;Enero de 2016;1;Andalucía;11;Cádiz;11025;Paterna de Rivera;1511;106;303;293;99;407;303;206;73;660;453;119
201601;Enero de 2016;1;Andalucía;11;Cádiz;11026;Prado del Rey;1423;62;238;320;47;320;436;246;207;79;785;106
201601;Enero de 2016;1;Andalucía;11;Cádiz;11027;Puerto de Santa María, El;13863;561;2849;2961;575;3495;3422;203;938;1473;9098;2151
201601;Enero de 2016;1;Andalucía;11;Cádiz;11028;Puerto Real;7411;339;1663;1507;358;2027;1517;139;935;722;4480;1135
201601;Enero de 2016;1;Andalucía;11;Cádiz;11029;Puerto Serrano;2185;164;488;385;190;526;432;1187;25;104;770;99
201601;Enero de 2016;1;Andalucía;11;Cádiz;11030;Rota;4579;270;964;846;275;1279;945;68;627;370;2951;563
201601;Enero de 2016;1;Andalucía;11;Cádiz;11031;San Fernando;15382;809;3152;2821;727;4239;3634;113;993;1566;9820;2890
201601;Enero de 2016;1;Andalucía;11;Cádiz;11032;Sanlúcar de Barrameda;15709;830;3127;3163;776;3860;3953;3411;744;1470;7832;2252
201601;Enero de 2016;1;Andalucía;11;Cádiz;11033;San Roque;4428;237;916;880;225;1168;1002;65;323;716;2709;615
201601;Enero de 2016;1;Andalucía;11;Cádiz;11034;Setenil de las Bodegas;552;26;80;105;33;128;180;189;9;30;290;34
201601;Enero de 2016;1;Andalucía;11;Cádiz;11035;Tarifa;3250;176;650;555;156;959;754;122;170;189;2530;239
