Gestor de Red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación;Nivel de Tensión (kV);Capacidad disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad ocupada (MW);Capacidad admitida y no resuelta (MW);Posiciones ocupadas;Posiciones libres;Nudo Afección RdT;Nudo limitado por Scc ;Nudo 0*;Comentarios;Comunidad Autónoma;Nombre Subestación
R1-299;Cádiz;Chiclana de la Frontera;218886,2593;4033918,242;59010739;20;0;0;12,4;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;CHICLANA
R1-299;Cádiz;Chipiona;196651,9876;4070539,831;533335836;66;0;0;0;0;;;PUERTO DE SANTA MARIA 220;0;0;;01 - Andalucía;CHIPIONA
R1-299;Cádiz;Chipiona;196651,9876;4070539,831;533335836;15;0;0;0,6;0;;;PUERTO DE SANTA MARIA 220;0;0;;01 - Andalucía;CHIPIONA
R1-299;Cádiz;Conil de la Frontera;224745,2183;4020492,759;531021233;66;34,9;0;0;0;;;EL ZUMAJO 220;0;0;;01 - Andalucía;CONIL
R1-299;Cádiz;Conil de la Frontera;224745,2183;4020492,759;531021233;20;0;0;12,6;0;;;EL ZUMAJO 220;0;0;;01 - Andalucía;CONIL
R1-299;Cádiz;Cádiz;207373,8178;4043327,368;532421196;66;0;0;0;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;CORTADUR
R1-299;Cádiz;San Roque;286458,5482;4005703,537;531144644;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;CRINAVIS
R1-299;Cádiz;San Roque;286458,5482;4005703,537;531144644;20;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;CRINAVIS
R1-299;Cádiz;Tarifa;264860,9996;3990502,464;532343662;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;CUBILLO
R1-299;Cádiz;Tarifa;264860,9996;3990502,464;532343662;20;0;0;4,6;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;CUBILLO
R1-299;Cádiz;San Roque;283700,4775;4009410,039;54039753;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;EASTMAN
R1-299;Cádiz;Jerez de la Frontera;220439,6621;4061203,294;532628547;66;0;0;18,4;0;;;CARTUJA 220;0;0;;01 - Andalucía;EBRO
R1-299;Cádiz;Algeciras;278764,5682;4001860,015;510015701;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;ESTRECHO
R1-299;Cádiz;Algeciras;278764,5682;4001860,015;510015701;15;0;0;0,8;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;ESTRECHO
R1-299;Cádiz;Barrios, Los;278275,9709;4005660,818;532937914;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;FRESNO
R1-299;Cádiz;Barrios, Los;278275,9709;4005660,818;532937914;15;0;0;5;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;FRESNO
R1-299;Cádiz;Algeciras;278846,4787;3998874,704;532742213;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;GETARES
R1-299;Cádiz;Algeciras;278846,4787;3998874,704;532742213;20;0;0;9,4;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;GETARES
R1-299;Cádiz;Algeciras;278846,4787;3998874,704;532742213;15;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;GETARES
R1-299;Cádiz;Arcos de la Frontera;250404,0055;4061888,844;531045612;66;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;GUADALCA
R1-299;Cádiz;Arcos de la Frontera;250404,0055;4061888,844;531045612;20;0;0;13;0;;;CARTUJA 220;0;0;;01 - Andalucía;GUADALCA
R1-299;Cádiz;Puerto de Santa María, El;208288,5841;4060755,127;58011852;66;0;0;0;0;;;PUERTO DE SANTA MARIA 220;0;0;;01 - Andalucía;HINOJERA
R1-299;Cádiz;Puerto de Santa María, El;208288,5841;4060755,127;58011852;15;0;0;10;0;;;PUERTO DE SANTA MARIA 220;0;0;;01 - Andalucía;HINOJERA
R1-299;Cádiz;San José del Valle;271042,805;4060295,137;531197005;66;0;0;5,3;0;;;CARTUJA 220;0;0;;01 - Andalucía;HURONES
R1-299;Cádiz;San José del Valle;271042,805;4060295,137;531197005;15;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;HURONES
R1-299;Cádiz;Algeciras;281252,6678;4000335,772;532508386;66;31,9;0;0;0;;;CAÑUELO 220;0;0;;01 - Andalucía;ISLAVERD
R1-299;Cádiz;Algeciras;281252,6678;4000335,772;532508386;15;31,9;0;0,1;0;;;CAÑUELO 220;0;0;;01 - Andalucía;ISLAVERD
R1-299;Cádiz;Jerez de la Frontera;220941,6472;4064531,884;59018842;66;0;0;0;0;;;MIRABAL 220;0;0;;01 - Andalucía;JEREZFRO
R1-299;Cádiz;Jerez de la Frontera;220941,6472;4064531,884;59018842;15;0;0;0,6;0;;;MIRABAL 220;0;0;;01 - Andalucía;JEREZFRO
R1-299;Cádiz;Tarifa;269088,8353;3991684,802;532557380;66;0;0;29,7;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;KWTARIFA
R1-299;Cádiz;San Roque;289492,7896;4015212,935;59010948;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;LASMESAS
R1-299;Cádiz;San Roque;289492,7896;4015212,935;59010948;20;0;0;14,8;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;LASMESAS
R1-299;Cádiz;Jerez de la Frontera;219959,0252;4062594,43;532841650;66;0;0;0;0;;;MIRABAL 220;0;0;;01 - Andalucía;LOSNEGRO
R1-299;Cádiz;Jerez de la Frontera;219959,0252;4062594,43;532841650;15;0;0;0;0;;;MIRABAL 220;0;0;;01 - Andalucía;LOSNEGRO
R1-299;Cádiz;Jerez de la Frontera;232542,5953;4061913,006;532093779;132;0;0;40,4;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;MAJADILL
R1-299;Cádiz;Puerto Real;224770,5234;4041579,148;533111115;66;16,5;0;24;0;;;CARTUJA 220;0;0;;01 - Andalucía;MARQUESA
R1-299;Cádiz;Puerto Real;210399,561;4045972,248;56011648;66;0;0;0;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;MATAGORD
R1-299;Cádiz;Puerto Real;210399,561;4045972,248;56011648;20;0;0;2,9;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;MATAGORD
R1-299;Cádiz;Medina Sidonia;237714,0809;4039800,9;59010636;66;16,2;0;0;0;;;EL ZUMAJO 220;0;0;;01 - Andalucía;MEDINA_S
R1-299;Cádiz;Medina Sidonia;237714,0809;4039800,9;59010636;15;15,8;0;19,2;5;;;EL ZUMAJO 220;0;0;Subestación con espacio insuficiente o posibles restricciones para su ampliación. Dificultad para la conexión de una nueva posición o con coste muy elevado.;01 - Andalucía;MEDINA_S
R1-299;Cádiz;Algeciras;278077,768;4004691,223;531360277;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;MENACHA
R1-299;Cádiz;Algeciras;278077,768;4004691,223;531360277;15;0;0;0,6;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;MENACHA
R1-299;Cádiz;San Roque;281690,1358;4012771,776;532808647;66;0;0;40;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;MERCANCI
R1-299;Cádiz;San Roque;281690,1358;4012771,776;532808647;15;0;0;0,1;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;MERCANCI
R1-299;Cádiz;Jerez de la Frontera;219690,8412;4066994,995;59018127;66;0;0;45;0;;;MIRABAL 220;0;0;;01 - Andalucía;MONTEALT
R1-299;Cádiz;Jerez de la Frontera;219690,8412;4066994,995;59018127;15;0;0;12,2;5,5;;;MIRABAL 220;0;0;;01 - Andalucía;MONTEALT
R1-299;Cádiz;Jerez de la Frontera;228582,5817;4066950,309;532737469;66;0;0;0;0;;;MIRABAL 220;0;0;;01 - Andalucía;MONTECAS
R1-299;Cádiz;Jerez de la Frontera;228582,5817;4066950,309;532737469;15;0;0;9,2;7;;;MIRABAL 220;0;0;;01 - Andalucía;MONTECAS
R1-299;Cádiz;Olvera;300665,5225;4089769,207;59017751;66;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;OLVERA
R1-299;Cádiz;Olvera;300665,5225;4089769,207;59017751;33;0;0;4;0;;;CARTUJA 220;0;0;;01 - Andalucía;OLVERA
R1-299;Cádiz;San Roque;283067,2101;4009356,178;532731770;66;0;0;0;0;;;ALGECIRAS 220;0;0;;01 - Andalucía;OXIGENO
R1-299;Cádiz;Tarifa;266893,1218;3993945,576;532494210;66;0;0;42;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;PESUR
R1-299;Cádiz;San Roque;283223,7618;4014171,94;59022818;66;0;0;97,3;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;PINARREY
R1-299;Cádiz;Puerto de Santa María, El;209365,643;4056270,382;58011995;66;0;0;0;0;;;PUERTO DE SANTA MARIA 220;0;0;;01 - Andalucía;PLATERO
R1-299;Cádiz;Puerto de Santa María, El;209365,643;4056270,382;58011995;15;0;0;0,1;0;;;PUERTO DE SANTA MARIA 220;0;0;;01 - Andalucía;PLATERO
R1-299;Cádiz;Puerto Real;217400,7866;4046092,555;54032755;132;0;0;181;36,7;;;PUERTO REAL 220;0;0;Subestación con espacio insuficiente o posibles restricciones para su ampliación. Dificultad para la conexión de una nueva posición o con coste muy elevado.;01 - Andalucía;PTO_REAL
R1-299;Cádiz;Puerto Real;217400,7866;4046092,555;54032755;66;0;0;189,9;15,6;;;PUERTO REAL 220;0;0;Subestación con espacio insuficiente o posibles restricciones para su ampliación. Dificultad para la conexión de una nueva posición o con coste muy elevado.;01 - Andalucía;PTO_REAL
R1-299;Cádiz;Puerto Real;217400,7866;4046092,555;54032755;20;0;0;30,9;11,4;;;PUERTO REAL 220;0;0;;01 - Andalucía;PTO_REAL
