;;;;GASTOS DE PRESTACIONES POR DESEMPLEO (miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201604;Abril de 2016;8;Castilla - La Mancha;16;Cuenca;5656,84;3378,63;1703,14;522,23;0
201604;Abril de 2016;8;Castilla - La Mancha;19;Guadalajara;7910,68;5520,86;1889,86;447,05;0
201604;Abril de 2016;8;Castilla - La Mancha;45;Toledo;22653,62;12785,64;7374,53;2182,52;0
201604;Abril de 2016;9;Cataluña;8;Barcelona;173514,07;122451,68;42274,71;8282,64;0
201604;Abril de 2016;9;Cataluña;17;Girona;21732,89;14664,35;5907,35;1103,54;0
201604;Abril de 2016;9;Cataluña;25;Lleida;11848,67;8225,31;2902,84;654,9;0
201604;Abril de 2016;9;Cataluña;43;Tarragona;24694,9;15492,16;7403,08;1650,69;0
201604;Abril de 2016;10;Comunitat Valenciana;3;Alicante/Alacant;56588,72;31799,47;18568,6;5593,67;0
201604;Abril de 2016;10;Comunitat Valenciana;12;Castellón/Castelló;19059;11098,82;6339,88;1483,99;0
201604;Abril de 2016;10;Comunitat Valenciana;46;Valencia/Valéncia;84975,94;52805,5;24416,39;7032,54;0
201604;Abril de 2016;11;Extremadura;6;Badajoz;30851,63;12620,05;11360,57;2258,34;4280,41
201604;Abril de 2016;11;Extremadura;10;Cáceres;18064,74;7537,36;6640,14;1081,61;2696,46
201604;Abril de 2016;12;Galicia;15;Coruña, A;34180,37;22809,42;9339,1;1899,07;0
201604;Abril de 2016;12;Galicia;27;Lugo;8519,49;5317,14;2616,65;537,02;0
201604;Abril de 2016;12;Galicia;32;Ourense;8797,52;5038,68;3146;560,71;0
201604;Abril de 2016;12;Galicia;36;Pontevedra;32497,09;19862,64;10407,61;2047,83;0
201604;Abril de 2016;13;Madrid, Comunidad de;28;Madrid;198346,48;152822,32;36892,1;8102,61;0
201604;Abril de 2016;14;Murcia, Región de;30;Murcia;42423,46;27040,03;10804,55;4056,08;0
201604;Abril de 2016;15;Navarra, Comunidad Foral de;31;Navarra;18894,17;14260,16;3989,77;627,02;0
201604;Abril de 2016;16;País Vasco;1;Araba/Álava;9218,27;7220,83;1754,44;232,25;0
201604;Abril de 2016;16;País Vasco;20;Gipuzkoa;18246,03;14406,7;3446,09;386,4;0
201604;Abril de 2016;16;País Vasco;48;Bizkaia;31344,32;24401,78;6099,28;831,84;0
201604;Abril de 2016;17;Rioja, La;26;Rioja, La;8902,58;6384,95;2056,31;431,19;0
201604;Abril de 2016;18;Ceuta;51;Ceuta;2374,73;1034,96;841,4;345,75;0
201604;Abril de 2016;19;Melilla;52;Melilla;2085,88;960,26;803,55;258,01;0
201605;Mayo de 2016;1;Andalucía;4;Almería;25456,4;13856,06;7874,16;2115,51;1293,02
201605;Mayo de 2016;1;Andalucía;11;Cádiz;45462,01;19208,44;16677,4;5109,49;3521,73
201605;Mayo de 2016;1;Andalucía;14;Córdoba;37652,15;13188,06;13521,53;2398,67;8175,53
201605;Mayo de 2016;1;Andalucía;18;Granada;36638,09;15042,26;13102,67;2866,94;5179,21
201605;Mayo de 2016;1;Andalucía;21;Huelva;20306,32;9178,38;6638,17;1624,7;2643,69
201605;Mayo de 2016;1;Andalucía;23;Jaén;30592,49;10645,99;11054,91;1798,12;6805,94
201605;Mayo de 2016;1;Andalucía;29;Málaga;55706,38;27145,7;19116,52;4883,43;3871,21
201605;Mayo de 2016;1;Andalucía;41;Sevilla;83365,25;35481,61;28477,37;6441,23;11925,47
201605;Mayo de 2016;2;Aragón;22;Huesca;5765,23;4349,06;1177,73;218,8;0
201605;Mayo de 2016;2;Aragón;44;Teruel;3186,24;2158,77;835,3;175,14;0
201605;Mayo de 2016;2;Aragón;50;Zaragoza;26256,73;19006,1;5806,08;1345,69;0
201605;Mayo de 2016;3;Asturias, Principado de;33;Asturias;30107,92;19857,88;8280,94;1887,94;0
201605;Mayo de 2016;4;Balears, Illes;7;Balears, Illes;24782,65;16745,96;6829,27;1153,18;0
201605;Mayo de 2016;5;Canarias;35;Palmas, Las;43070,96;25595,26;12709,66;4261,93;0
201605;Mayo de 2016;5;Canarias;38;Santa Cruz de Tenerife;38654,47;21063,71;13134,29;3987,39;0
201605;Mayo de 2016;6;Cantabria;39;Cantabria;16637,62;11092,95;4581,49;912,8;0
201605;Mayo de 2016;7;Castilla y León;5;Ávila;4342,07;2387,66;1562,37;355,65;0
201605;Mayo de 2016;7;Castilla y León;9;Burgos;10708,25;7424,06;2726,16;506,48;0
201605;Mayo de 2016;7;Castilla y León;24;León;13311,05;8790,28;3704,25;767,73;0
201605;Mayo de 2016;7;Castilla y León;34;Palencia;4120,67;2760,67;1125,21;219,88;0
201605;Mayo de 2016;7;Castilla y León;37;Salamanca;8863,42;5336,69;2803,45;663,2;0
201605;Mayo de 2016;7;Castilla y León;40;Segovia;3343,96;2235,91;910,59;189,92;0
201605;Mayo de 2016;7;Castilla y León;42;Soria;1950,13;1357,56;489,09;98,38;0
201605;Mayo de 2016;7;Castilla y León;47;Valladolid;13218,22;9213,61;3145,25;803,74;0
201605;Mayo de 2016;7;Castilla y León;49;Zamora;4719,31;2790,33;1553,17;347,62;0
201605;Mayo de 2016;8;Castilla - La Mancha;2;Albacete;11841,24;6631,37;3796,9;1257,18;0
201605;Mayo de 2016;8;Castilla - La Mancha;13;Ciudad Real;15836,8;8060,48;5617,04;1797,61;0
201605;Mayo de 2016;8;Castilla - La Mancha;16;Cuenca;5461,07;3259,24;1643,15;505,59;0
201605;Mayo de 2016;8;Castilla - La Mancha;19;Guadalajara;7709,44;5439,35;1796,79;425,3;0
201605;Mayo de 2016;8;Castilla - La Mancha;45;Toledo;21529,13;11979,24;7103,42;2141,37;0
201605;Mayo de 2016;9;Cataluña;8;Barcelona;168102,36;118459,07;41050,09;8097,73;0
201605;Mayo de 2016;9;Cataluña;17;Girona;20185,47;13662,8;5377,28;1087,84;0
201605;Mayo de 2016;9;Cataluña;25;Lleida;11233,16;7748,73;2775,8;645,31;0
201605;Mayo de 2016;9;Cataluña;43;Tarragona;23235,07;14697,85;6763,12;1633,05;0
201605;Mayo de 2016;10;Comunitat Valenciana;3;Alicante/Alacant;55496,51;31014,55;18240,71;5623,68;0
201605;Mayo de 2016;10;Comunitat Valenciana;12;Castellón/Castelló;19225,43;11338,43;6302,7;1451,36;0
201605;Mayo de 2016;10;Comunitat Valenciana;46;Valencia/Valéncia;84725,37;52770,42;24237,78;6993,15;0
201605;Mayo de 2016;11;Extremadura;6;Badajoz;28519,03;11223,74;10677,04;2205,34;4080,04
201605;Mayo de 2016;11;Extremadura;10;Cáceres;16650,48;6730,19;6257,74;1080,36;2471,4
201605;Mayo de 2016;12;Galicia;15;Coruña, A;32716,78;21600,49;9077,61;1905,06;0
201605;Mayo de 2016;12;Galicia;27;Lugo;8371,55;5241,14;2546,02;538,59;0
201605;Mayo de 2016;12;Galicia;32;Ourense;8749,27;5063,99;3082,42;551,38;0
201605;Mayo de 2016;12;Galicia;36;Pontevedra;31172,66;18940,44;10031,15;2017,44;0
201605;Mayo de 2016;13;Madrid, Comunidad de;28;Madrid;192376,43;147808,4;35978,45;8071,46;0
201605;Mayo de 2016;14;Murcia, Región de;30;Murcia;41548,5;26631,9;10406,79;4000,1;0
201605;Mayo de 2016;15;Navarra, Comunidad Foral de;31;Navarra;17861,91;13448,84;3783,54;611,79;0
201605;Mayo de 2016;16;País Vasco;1;Araba/Álava;8813,21;6846,44;1735,83;220,49;0
201605;Mayo de 2016;16;País Vasco;20;Gipuzkoa;17327,68;13608,11;3328,57;385,59;0
201605;Mayo de 2016;16;País Vasco;48;Bizkaia;30226,78;23416,27;5975,11;825,13;0
201605;Mayo de 2016;17;Rioja, La;26;Rioja, La;8525,15;6068,8;1988,52;440,49;0
201605;Mayo de 2016;18;Ceuta;51;Ceuta;2380,84;988,56;907,04;356,37;0
201605;Mayo de 2016;19;Melilla;52;Melilla;2050,38;956;782,16;262,46;0
