;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201103;Marzo de 2011;8;Castilla - La Mancha;2;Albacete;21948;14546;6506;896;0
201103;Marzo de 2011;8;Castilla - La Mancha;13;Ciudad Real;26011;16935;8213;863;0
201103;Marzo de 2011;8;Castilla - La Mancha;16;Cuenca;9215;6134;2839;242;0
201103;Marzo de 2011;8;Castilla - La Mancha;19;Guadalajara;14344;11037;3150;157;0
201103;Marzo de 2011;8;Castilla - La Mancha;45;Toledo;39796;28041;10844;911;0
201103;Marzo de 2011;9;Cataluña;8;Barcelona;333429;261838;67765;3826;0
201103;Marzo de 2011;9;Cataluña;17;Girona;43395;31914;11068;413;0
201103;Marzo de 2011;9;Cataluña;25;Lleida;20254;15415;4562;277;0
201103;Marzo de 2011;9;Cataluña;43;Tarragona;49478;36444;12237;797;0
201103;Marzo de 2011;10;Comunitat Valenciana;3;Alicante/Alacant;100893;64731;30795;5367;0
201103;Marzo de 2011;10;Comunitat Valenciana;12;Castellón/Castelló;39293;28727;10054;512;0
201103;Marzo de 2011;10;Comunitat Valenciana;46;Valencia/Valéncia;148312;109505;34864;3943;0
201103;Marzo de 2011;11;Extremadura;6;Badajoz;42234;20756;13986;2401;5091
201103;Marzo de 2011;11;Extremadura;10;Cáceres;23913;12663;7110;775;3365
201103;Marzo de 2011;12;Galicia;15;Coruña, A;53678;39455;12700;1523;0
201103;Marzo de 2011;12;Galicia;27;Lugo;12945;9377;3220;348;0
201103;Marzo de 2011;12;Galicia;32;Ourense;14288;9445;4313;530;0
201103;Marzo de 2011;12;Galicia;36;Pontevedra;53884;39143;13212;1529;0
201103;Marzo de 2011;13;Madrid, Comunidad de;28;Madrid;313909;255277;54722;3910;0
201103;Marzo de 2011;14;Murcia, Región de;30;Murcia;76498;53930;19863;2705;0
201103;Marzo de 2011;15;Navarra, Comunidad Foral de;31;Navarra;32825;26415;6061;349;0
201103;Marzo de 2011;16;País Vasco;1;Araba/Álava;15357;12747;2522;88;0
201103;Marzo de 2011;16;País Vasco;20;Gipuzkoa;32048;26635;5110;303;0
201103;Marzo de 2011;16;País Vasco;48;Bizkaia;50796;42029;8314;453;0
201103;Marzo de 2011;17;Rioja, La;26;Rioja, La;15299;12068;2979;252;0
201103;Marzo de 2011;18;Ceuta;51;Ceuta;3175;1402;1639;134;0
201103;Marzo de 2011;19;Melilla;52;Melilla;2884;1453;1186;245;0
201104;Abril de 2011;1;Andalucía;4;Almería;37614;21731;12296;1820;1767
201104;Abril de 2011;1;Andalucía;11;Cádiz;72612;38630;23431;6144;4407
201104;Abril de 2011;1;Andalucía;14;Córdoba;49855;24060;14302;1945;9548
201104;Abril de 2011;1;Andalucía;18;Granada;52398;27313;16240;2148;6697
201104;Abril de 2011;1;Andalucía;21;Huelva;31670;17348;9363;1265;3694
201104;Abril de 2011;1;Andalucía;23;Jaén;40711;20637;11129;1522;7423
201104;Abril de 2011;1;Andalucía;29;Málaga;91263;53926;27796;4668;4873
201104;Abril de 2011;1;Andalucía;41;Sevilla;117358;62559;34801;5363;14635
201104;Abril de 2011;2;Aragón;22;Huesca;9534;7658;1754;122;0
201104;Abril de 2011;2;Aragón;44;Teruel;6083;4568;1432;83;0
201104;Abril de 2011;2;Aragón;50;Zaragoza;47510;37318;9277;915;0
201104;Abril de 2011;3;Asturias, Principado de;33;Asturias;50813;36928;12639;1246;0
201104;Abril de 2011;4;Balears, Illes;7;Balears, Illes;58850;40521;17336;993;0
201104;Abril de 2011;5;Canarias;35;Palmas, Las;65397;39930;20866;4601;0
201104;Abril de 2011;5;Canarias;38;Santa Cruz de Tenerife;58424;36128;19242;3054;0
201104;Abril de 2011;6;Cantabria;39;Cantabria;26248;20007;5563;678;0
201104;Abril de 2011;7;Castilla y León;5;Ávila;7422;5057;2104;261;0
201104;Abril de 2011;7;Castilla y León;9;Burgos;17554;13826;3384;344;0
201104;Abril de 2011;7;Castilla y León;24;León;23492;17688;5247;557;0
