Gestor de red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación;Nivel de Tensión (kV);Capacidad disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad ocupada (MW);Capacidad admitida y no resuelta (MW);Posiciones ocupadas;Posiciones libres;Nudo Afección RdT;Nudo limitado por Scc ;Nudo 0*;Comentarios;Comunidad Autónoma;Nombre Subestación;Provincia;Municipio
R1-299;11;11016;196651,99;4070539,83;533335836;15;25,67;0;0,61;0;;;PUERTO DE SANTA MARIA 220;0;0;;01 - Andalucía;CHIPIONA;Cádiz;Chipiona
R1-299;11;11014;224745,22;4020492,76;531021233;66;21,56;0;9,9;0;;;EL ZUMAJO 220;0;0;;01 - Andalucía;CONIL;Cádiz;Conil de la Frontera
R1-299;11;11014;224745,22;4020492,76;531021233;20;1,1;0;12,63;0;;;EL ZUMAJO 220;0;0;;01 - Andalucía;CONIL;Cádiz;Conil de la Frontera
R1-299;11;11012;207373,82;4043327,37;532421196;66;0;0;0;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;CORTADUR;Cádiz;Cádiz
R1-299;11;11033;286458,55;4005703,54;531144644;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;CRINAVIS;Cádiz;San Roque
R1-299;11;11033;286458,55;4005703,54;531144644;20;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;CRINAVIS;Cádiz;San Roque
R1-299;11;11035;264861;3990502,46;532343662;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;CUBILLO;Cádiz;Tarifa
R1-299;11;11035;264861;3990502,46;532343662;20;0;0;4,57;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;CUBILLO;Cádiz;Tarifa
R1-299;11;11033;283700,48;4009410,04;54039753;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;EASTMAN;Cádiz;San Roque
R1-299;11;11020;220439,66;4061203,29;532628547;66;0;0;18,44;0;;;CARTUJA 220;0;0;;01 - Andalucía;EBRO;Cádiz;Jerez de la Frontera
R1-299;11;11004;278764,57;4001860,01;510015701;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;ESTRECHO;Cádiz;Algeciras
R1-299;11;11004;278764,57;4001860,01;510015701;15;0;0;0,78;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;ESTRECHO;Cádiz;Algeciras
R1-299;11;11008;278275,97;4005660,82;532937914;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;FRESNO;Cádiz;Barrios, Los
R1-299;11;11008;278275,97;4005660,82;532937914;15;0;0;5;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;FRESNO;Cádiz;Barrios, Los
R1-299;11;11004;278846,48;3998874,7;532742213;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;GETARES;Cádiz;Algeciras
R1-299;11;11004;278846,48;3998874,7;532742213;20;0;0;9,39;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;GETARES;Cádiz;Algeciras
R1-299;11;11004;278846,48;3998874,7;532742213;15;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;GETARES;Cádiz;Algeciras
R1-299;11;11006;250404,01;4061888,84;531045612;66;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;GUADALCA;Cádiz;Arcos de la Frontera
R1-299;11;11006;250404,01;4061888,84;531045612;20;0;0;13;0;;;CARTUJA 220;0;0;;01 - Andalucía;GUADALCA;Cádiz;Arcos de la Frontera
R1-299;11;11027;208288,58;4060755,13;58011852;66;39,64;0;0;0;;;PUERTO DE SANTA MARIA 220;0;0;;01 - Andalucía;HINOJERA;Cádiz;Puerto de Santa María, El
R1-299;11;11027;208288,58;4060755,13;58011852;15;36,55;0;9,98;0;;;PUERTO DE SANTA MARIA 220;0;0;;01 - Andalucía;HINOJERA;Cádiz;Puerto de Santa María, El
R1-299;11;11902;271042,8;4060295,14;531197005;66;0;0;5,25;0;;;CARTUJA 220;0;0;;01 - Andalucía;HURONES;Cádiz;San José del Valle
R1-299;11;11902;271042,8;4060295,14;531197005;15;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;HURONES;Cádiz;San José del Valle
R1-299;11;11004;281252,67;4000335,77;532508386;66;0;0;0;0;;;CAÑUELO 220;0;0;;01 - Andalucía;ISLAVERD;Cádiz;Algeciras
R1-299;11;11004;281252,67;4000335,77;532508386;15;0;0;0,1;0;;;CAÑUELO 220;0;0;;01 - Andalucía;ISLAVERD;Cádiz;Algeciras
R1-299;11;11020;220941,65;4064531,88;59018842;66;0;0;0;0;;;MIRABAL 220;0;0;;01 - Andalucía;JEREZFRO;Cádiz;Jerez de la Frontera
R1-299;11;11020;220941,65;4064531,88;59018842;15;0;0;0,61;0;;;MIRABAL 220;0;0;;01 - Andalucía;JEREZFRO;Cádiz;Jerez de la Frontera
R1-299;11;11035;269088,84;3991684,8;532557380;66;0;0;29,7;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;KWTARIFA;Cádiz;Tarifa
R1-299;11;11033;289492,79;4015212,93;59010948;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;LASMESAS;Cádiz;San Roque
R1-299;11;11033;289492,79;4015212,93;59010948;20;0;0;9,75;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;LASMESAS;Cádiz;San Roque
R1-299;11;11020;219959,03;4062594,43;532841650;66;0;0;0;0;;;MIRABAL 220;0;0;;01 - Andalucía;LOSNEGRO;Cádiz;Jerez de la Frontera
R1-299;11;11020;219959,03;4062594,43;532841650;15;0;0;0;0;;;MIRABAL 220;0;0;;01 - Andalucía;LOSNEGRO;Cádiz;Jerez de la Frontera
R1-299;11;11020;232542,6;4061913,01;532093779;132;0;0;40,4;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;MAJADILL;Cádiz;Jerez de la Frontera
R1-299;11;11028;224770,52;4041579,15;533111115;66;2,53;0;24;0;;;CARTUJA 220;0;0;;01 - Andalucía;MARQUESA;Cádiz;Puerto Real
R1-299;11;11028;210399,56;4045972,25;56011648;66;0;0;0;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;MATAGORD;Cádiz;Puerto Real
R1-299;11;11028;210399,56;4045972,25;56011648;20;0;0;2,86;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;MATAGORD;Cádiz;Puerto Real
R1-299;11;11023;237714,08;4039800,9;59010636;66;2,51;0;0;0;;;EL ZUMAJO 220;0;0;;01 - Andalucía;MEDINA_S;Cádiz;Medina Sidonia
R1-299;11;11023;237714,08;4039800,9;59010636;15;0;0;34,08;0;;;EL ZUMAJO 220;0;0;Subestación con espacio insuficiente o posibles restricciones para su ampliación. Dificultad para la conexión de una nueva posición o con coste muy elevado.;01 - Andalucía;MEDINA_S;Cádiz;Medina Sidonia
