Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2021S004717;24/03/2021;22:25;CALL. SALIENTE;2;RETIRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;
2021S004723;24/03/2021;22:12;CALL. SIERRA DE CONTRAVIESA / AVDA. ENTREVIAS;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Hombre;
2021S004723;24/03/2021;22:12;CALL. SIERRA DE CONTRAVIESA / AVDA. ENTREVIAS;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Hombre;14
2021S004723;24/03/2021;22:12;CALL. SIERRA DE CONTRAVIESA / AVDA. ENTREVIAS;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 21 A 24 AÑOS;Hombre;14
2021S004723;24/03/2021;22:12;CALL. SIERRA DE CONTRAVIESA / AVDA. ENTREVIAS;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 15 A 17 AÑOS;Hombre;14
2021S004723;24/03/2021;22:12;CALL. SIERRA DE CONTRAVIESA / AVDA. ENTREVIAS;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;
2021S004723;24/03/2021;22:12;CALL. SIERRA DE CONTRAVIESA / AVDA. ENTREVIAS;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 50 A 54 AÑOS;Mujer;14
2021S004723;24/03/2021;22:12;CALL. SIERRA DE CONTRAVIESA / AVDA. ENTREVIAS;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 25 A 29 AÑOS;Mujer;14
2021S004723;24/03/2021;22:12;CALL. SIERRA DE CONTRAVIESA / AVDA. ENTREVIAS;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 0 A 5 AÑOS;Hombre;
2021S004735;24/03/2021;22:01;AVDA. ANDALUCIA / AVDA. LOS ROSALES;-;USERA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Mujer;
2021S004735;24/03/2021;22:01;AVDA. ANDALUCIA / AVDA. LOS ROSALES;-;USERA;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;DE 25 A 29 AÑOS;Hombre;
2021S004733;24/03/2021;21:50;CALL. CRISTO DE LA VEGA;3;USERA;Caída;Despejado;Motocicleta hasta 125cc;Conductor;DE 45 A 49 AÑOS;Hombre;07
2021S004740;24/03/2021;21:40;PASEO. SANTA MARIA DE LA CABEZA;2;ARGANZUELA;Choque contra obstáculo fijo;;Turismo;Conductor;DE 60 A 64 AÑOS;Hombre;
2021S004677;24/03/2021;21:05;CALL. FERNANDEZ DE LOS RIOS / CALL. MAGALLANES;-;CHAMBERÍ;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 60 A 64 AÑOS;Hombre;14
2021S004677;24/03/2021;21:05;CALL. FERNANDEZ DE LOS RIOS / CALL. MAGALLANES;-;CHAMBERÍ;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;DE 25 A 29 AÑOS;Hombre;07
2021S004679;24/03/2021;20:59;AUTOV. M-30, +00800I;-;RETIRO;Alcance;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;14
2021S004679;24/03/2021;20:59;AUTOV. M-30, +00800I;-;RETIRO;Alcance;Despejado;Turismo;Pasajero;DE 30 A 34 AÑOS;Mujer;07
2021S004679;24/03/2021;20:59;AUTOV. M-30, +00800I;-;RETIRO;Alcance;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;07
2021S004679;24/03/2021;20:59;AUTOV. M-30, +00800I;-;RETIRO;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;07
2021S004679;24/03/2021;20:59;AUTOV. M-30, +00800I;-;RETIRO;Alcance;Despejado;Turismo;Pasajero;DE 40 A 44 AÑOS;Mujer;07
2021S004680;24/03/2021;20:45;AVDA. ALBUFERA / AUTOV. M-30;-;PUENTE DE VALLECAS;Alcance;Despejado;Furgoneta;Conductor;DE 60 A 64 AÑOS;Hombre;14
