trip_minutes,unlock_date,unlock_station_name,lock_station_name
23.23,2022-04-01T00:58:40,99 - Alcántara,127 - Fernando el Católico
6.65,2022-04-01T00:58:49,171 - Embajadores-Cáceres,228 - San Delfín
11.88,2022-04-01T00:58:50,12 - San Hermenegildo,133 - Raimundo Fernández
11.97,2022-04-01T00:59:39,58 - Augusto Figueroa,196 - Prosperidad
0.33,2022-04-01T00:59:40,106a - Colón A,106a - Colón A
8.17,2022-04-01T00:59:53,122 - Santa Engracia 14,132 - Glorieta de los Cuatro Caminos
18.92,2022-04-01T01:00:06,34 - Jacinto Benavente,198 - Rubén Darío
4.33,2022-04-01T01:00:35,162 - Metro Pirámides,212 - Marqués de Vadillo
19.8,2022-04-01T01:01:00,99 - Alcántara,157 - Castellana 164
18.07,2022-04-01T01:01:28,54 - Barceló,233 - Marqués de Corbera 12
0.8,2022-04-01T01:01:56,158 - Alberto Alcocer,158 - Alberto Alcocer
35.52,2022-04-01T01:02:29,179 - Puente de Vallecas,179 - Puente de Vallecas
10.6,2022-04-01T01:02:38,15 - San Vicente Ferrer,67 - Almadén
0.87,2022-04-01T01:02:54,87 - Ayala,87 - Ayala
12.15,2022-04-01T01:02:55,103 - Ortega y Gasset,132 - Glorieta de los Cuatro Caminos
5.82,2022-04-01T01:03:04,179 - Puente de Vallecas,77 - Conde de Casal
7.15,2022-04-01T01:03:13,51 - Ronda de Atocha,228 - San Delfín
0.18,2022-04-01T01:03:26,158 - Alberto Alcocer,158 - Alberto Alcocer
10.12,2022-04-01T01:04:00,87 - Ayala,189 - Avenida Donostiarra
19.45,2022-04-01T01:04:04,25a - Plaza de Celenque A,27 - Huertas
19.5,2022-04-01T01:04:19,25a - Plaza de Celenque A,27 - Huertas
0.2,2022-04-01T01:04:21,158 - Alberto Alcocer,158 - Alberto Alcocer
0.13,2022-04-01T01:04:44,158 - Alberto Alcocer,158 - Alberto Alcocer
5.65,2022-04-01T01:04:45,155 - San Germán 57,209 - Plaza de Castilla 2
0.3,2022-04-01T01:04:46,95 - Villanueva,95 - Villanueva
2.78,2022-04-01T01:04:50,168 - Batalla del Salado,173 - Puente Praga
0.17,2022-04-01T01:05:08,158 - Alberto Alcocer,158 - Alberto Alcocer
23.4,2022-04-01T01:05:15,206 - Metro Tetuán,119 - Méndez Álvaro
0.17,2022-04-01T01:05:37,158 - Alberto Alcocer,158 - Alberto Alcocer
1.42,2022-04-01T01:06:05,117 - Altamirano,117 - Altamirano
9.87,2022-04-01T01:06:14,164 - Paseo de las Delicias,52 - Plaza de Santa Ana
0.27,2022-04-01T01:06:16,158 - Alberto Alcocer,158 - Alberto Alcocer
7.52,2022-04-01T01:06:26,39 - Plaza de la Cebada,115 - Ferraz
0.32,2022-04-01T01:06:37,167 - Segovia 45,167 - Segovia 45
13.28,2022-04-01T01:06:42,73 - Plaza de los Astros,126 - General Álvarez de Castro
7.42,2022-04-01T01:06:49,238 - San Germán 5,197 - Parque Berlín
5.8,2022-04-01T01:07:25,167 - Segovia 45,25b - Plaza de Celenque B
1.23,2022-04-01T01:07:55,200 - Quevedo,200 - Quevedo
0.35,2022-04-01T01:08:27,117 - Altamirano,117 - Altamirano
3.18,2022-04-01T01:08:44,153 - General Perón con Poeta Joan Maragall,138 - Paseo de la Castellana con Raimundo Fernández
6.35,2022-04-01T01:08:58,27 - Huertas,162 - Metro Pirámides
30.0,2022-04-01T01:09:02,11 - San Andrés,11 - San Andrés
5.73,2022-04-01T01:09:17,197 - Parque Berlín,143 - Diego de León 52
6.33,2022-04-01T01:09:36,117 - Altamirano,12 - San Hermenegildo
13.53,2022-04-01T01:09:37,200 - Quevedo,146 - María Francisca 1
10.5,2022-04-01T01:09:38,11 - San Andrés,245 - Galileo
7.43,2022-04-01T01:09:39,88 - Embajada de Italia,193 - Ventas
14.47,2022-04-01T01:10:17,25a - Plaza de Celenque A,204 - Cuatro Caminos 2
0.42,2022-04-01T01:10:22,149 - Paseo de la Habana 42,149 - Paseo de la Habana 42
10.15,2022-04-01T01:10:27,96 - Castelló,218 - Camino Vinateros
15.57,2022-04-01T01:10:43,144 - Juan Bravo 50,42 - Santa Isabel
7.35,2022-04-01T01:10:59,205 - Estrecho,208 - Plaza de Castilla
19.8,2022-04-01T01:11:17,149 - Paseo de la Habana 42,120 - Palos de la Frontera
4.72,2022-04-01T01:11:25,11 - San Andrés,125 - General Martínez Campos
5.33,2022-04-01T01:11:32,85 - Puerta de Madrid,73 - Plaza de los Astros
0.18,2022-04-01T01:12:31,5 - Fuencarral,5 - Fuencarral
5.62,2022-04-01T01:12:46,142 - Castellana 42,129 - José Abascal
1464.08,2022-04-01T01:12:49,5 - Fuencarral,5 - Fuencarral
16.55,2022-04-01T01:13:25,39 - Plaza de la Cebada,256 - Reina Victoria
