Provincia de origen;Provincia de origen;CCAA y provincia de destino;CCAA y provincia de destino;CCAA y provincia de destino;Concepto turístico;Periodo;Total
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2023M10;374.116
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2023M09;346.540
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2023M08;388.610
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2023M07;356.175
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2023M06;309.808
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2023M05;318.201
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2023M04;367.854
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2023M03;344.696
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2023M02;332.010
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2023M01;373.069
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2022M12;352.399
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2022M11;308.633
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2022M10;337.654
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2022M09;346.018
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2022M08;398.642
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2022M07;343.355
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2022M06;305.694
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2022M05;342.526
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2022M04;378.870
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2022M03;322.682
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2022M02;324.515
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2022M01;345.835
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2021M12;370.357
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2021M11;340.987
