Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;;
2020S000022;01/01/2020;10:00;PLAZA. AGUSTIN GONZALEZ,  CON AVDA DAROCA;-;CIUDAD LINEAL;Alcance;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;14;;
2020S000025;01/01/2020;10:00;AUTOV. M-30, +00900I;-;RETIRO;Alcance;;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;14;;
2020S000025;01/01/2020;10:00;AUTOV. M-30, +00900I;-;RETIRO;Alcance;;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;14;;
2020S000142;01/01/2020;9:40;GINZO LIMIA;43;FUENCARRAL-EL PARDO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;;
2020S000142;01/01/2020;9:40;GINZO LIMIA;43;FUENCARRAL-EL PARDO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 35 A 39 AÑOS;Hombre;14;;
2020S000142;01/01/2020;9:40;GINZO LIMIA;43;FUENCARRAL-EL PARDO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 30 A 34 AÑOS;Mujer;07;;
2020S000142;01/01/2020;9:40;GINZO LIMIA;43;FUENCARRAL-EL PARDO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 25 A 29 AÑOS;Hombre;14;;
2020S000021;01/01/2020;9:30;CALL. LUIS BUÑUEL;2;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;14;;
2020S000021;01/01/2020;9:30;CALL. LUIS BUÑUEL;2;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;;
2020S000020;01/01/2020;9:15;CALL. PARADOR DEL SOL / CALL. FERNAN CABALLERO;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;07;;
2020S000020;01/01/2020;9:15;CALL. PARADOR DEL SOL / CALL. FERNAN CABALLERO;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Todo terreno;Conductor;DE 25 A 29 AÑOS;Hombre;14;;
2020S000020;01/01/2020;9:15;CALL. PARADOR DEL SOL / CALL. FERNAN CABALLERO;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Todo terreno;Pasajero;DE 25 A 29 AÑOS;Mujer;14;;
2020S000013;01/01/2020;8:30;AVDA. LUIS ARAGONES;12;SAN BLAS-CANILLEJAS;Solo salida de la vía;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;;;
2020S000018;01/01/2020;7:30;CALL. GENOVA;16;CENTRO;Alcance;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Mujer;;;
2020S000018;01/01/2020;7:30;CALL. GENOVA;16;CENTRO;Alcance;Despejado;Motocicleta hasta 125cc;Conductor;DE 30 A 34 AÑOS;Hombre;;;
2020S000009;01/01/2020;7:10;CALL. FRANCISCO SILVELA / CALL. MALDONADO;-;SALAMANCA;Colisión fronto-lateral;Despejado;Ciclomotor;Conductor;DE 25 A 29 AÑOS;Hombre;;;
2020S000009;01/01/2020;7:10;CALL. FRANCISCO SILVELA / CALL. MALDONADO;-;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;;;
2020S000009;01/01/2020;7:10;CALL. FRANCISCO SILVELA / CALL. MALDONADO;-;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 55 A 59 AÑOS;Mujer;;;
2020S000009;01/01/2020;7:10;CALL. FRANCISCO SILVELA / CALL. MALDONADO;-;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Mujer;;;
2020S000012;01/01/2020;6:40;AVDA. MEDITERRANEO / CALL. ABTAO;-;RETIRO;Alcance;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;;;
2020S000012;01/01/2020;6:40;AVDA. MEDITERRANEO / CALL. ABTAO;-;RETIRO;Alcance;Despejado;Turismo;Conductor;DESCONOCIDA;;;;
2020S000976;01/01/2020;6:21;AVDA. PORTUGAL;177;LATINA;Vuelco;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;07;;
2020S000007;01/01/2020;6:13;CALL. BOCANGEL / CALL. MARQUES DE MONDEJAR;-;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;14;;
2020S000007;01/01/2020;6:13;CALL. BOCANGEL / CALL. MARQUES DE MONDEJAR;-;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 25 A 29 AÑOS;Mujer;14;;
2020S000007;01/01/2020;6:13;CALL. BOCANGEL / CALL. MARQUES DE MONDEJAR;-;SALAMANCA;Colisión fronto-lateral;Despejado;Motocicleta > 125cc;Conductor;DE 40 A 44 AÑOS;Hombre;03;;
2020S000006;01/01/2020;5:05;CALL. EUGENIA DE MONTIJO;60;CARABANCHEL;Colisión lateral;Despejado;Motocicleta hasta 125cc;Conductor;DE 25 A 29 AÑOS;Hombre;;;
2020S000006;01/01/2020;5:05;CALL. EUGENIA DE MONTIJO;60;CARABANCHEL;Colisión lateral;Despejado;Motocicleta hasta 125cc;Pasajero;DE 18 A 20 AÑOS;Hombre;;;
2020S000006;01/01/2020;5:05;CALL. EUGENIA DE MONTIJO;60;CARABANCHEL;Colisión lateral;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;;;
