Gestor de red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación;Nivel de Tensión (kV);Capacidad disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad ocupada (MW);Capacidad admitida y no resuelta (MW);Posiciones ocupadas;Posiciones libres;Nudo Afección RdT;Nudo limitado por Scc;Nudo 0*;Comentarios;Nombre Subestación;" Capacidad admitida y no resuelta (MW) 
Eólica";" Capacidad admitida y no resuelta (MW)
 Solar";" Capacidad admitida y no resuelta (MW) 
Almacenamiento";" Capacidad admitida y no resuelta (MW) 
Otras"
R1-005;Cantabria;Torrelavega;412.682,9;4.801.069,2;957;12;0;1;0;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;SAN_MIGUEL;0;0;0;0
R1-005;Cantabria;Torrelavega;412.682,9;4.801.069,2;957;55;0;1;95,10;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;SAN_MIGUEL;0;0;0;0
R1-005;Cantabria;Torrelavega;412.682,9;4.801.069,2;957;132;0;1;0;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;SAN_MIGUEL;0;0;0;0
R1-005;Cantabria;Torrelavega;415.233,9;4.803.069,0;23;55;0;1;50;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;SOLVAY_N;0;0;0;0
R1-005;Cantabria;San Vicente de la Barquera;387.436,7;4.801.607,0;996;12;2,74;1;0;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;S_VICENTE;0;0;0;0
R1-005;Cantabria;San Vicente de la Barquera;387.436,7;4.801.607,0;996;55;2,74;1;0;0;;;P.S.M. 220 KV;0;1;Afección a nudo concurso capacidad;S_VICENTE;0;0;0;0
R1-005;Cantabria;Torrelavega;415.152,4;4.797.765,9;1010;12;0;1;0,1;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;TANOS;0;0;0;0
R1-005;Cantabria;Torrelavega;415.152,4;4.797.765,9;1010;55;0;1;0;30;;;P.S.M. 220 KV;0;1;Afección a nudo concurso capacidad;TANOS;0;0;30;0
R1-005;Cantabria;Santander;434.774,1;4.812.718,1;125;12;6,038;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;TANTIN;0;0;0;0
R1-005;Cantabria;Santander;434.774,1;4.812.718,1;125;55;50;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;TANTIN;0;0;0;0
R1-005;Cantabria;Vega de Liébana;423.233,6;4.784.885,0;518;12;0;0;1,37;0;;;Astillero 220 kV;0;0;;TORANZO;0;0;0;0
R1-005;Cantabria;Vega de Liébana;423.233,6;4.784.885,0;518;55;0;0;0;0;;;Astillero 220 kV;0;1;;TORANZO;0;0;0;0
R1-005;Cantabria;Molledo;414.840,3;4.774.617,7;363;12;0;1;21,37;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;TORINA;0;0;0;0
R1-005;Cantabria;Molledo;414.840,3;4.774.617,7;363;55;0;1;0;0;;;P.S.M. 220 KV;0;1;Afección a nudo concurso capacidad;TORINA;0;0;0;0
R1-005;Cantabria;Bárcena de Cicero;461.484,1;4.804.916,5;54;12;0;0;0;0;;;Cicero 220 kV;0;0;;TRETO;0;0;0;0
R1-005;Cantabria;Bárcena de Cicero;461.484,1;4.804.916,5;54;55;0;0;0;0;;;Cicero 220 kV;0;1;;TRETO;0;0;0;0
R1-005;Cantabria;Ampuero;462.599,0;4.796.835,7;1756;12;0;0;0,806;0;;;Cicero 220 kV;0;0;;UDALLA;0;0;0;0
R1-005;Cantabria;Ampuero;462.599,0;4.796.835,7;1756;55;0;0;0;0;;;Cicero 220 kV;0;1;;UDALLA;0;0;0;0
R1-005;Cantabria;Peñarrubia;367.384,4;4.791.692,3;604;30;0,2;1;0;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;URDON;0;0;0;0
R1-005;Cantabria;Peñarrubia;367.384,4;4.791.692,3;604;132;0;1;6,38;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;URDON;0;0;0;0
