Gestor de red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación ;Nivel de tensión (kV);Capacidad firme disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad de acceso firme de demanda ocupada (MW);Capacidad de acceso firme admitida y no evaluada (MW);Posiciones ocupadas;Posiciones libres;Nudo 0*;Comentarios;Nombre subestación
R1-005;Cantabria;Torrelavega;415.152,4;4.797.765,9;1010;55;0;0;0;17,3;0;0;0;;TANOS
R1-005;Cantabria;Santander;434.774,1;4.812.718,1;125;12;4,25;0;23,75;0;0;0;0;;TANTIN
R1-005;Cantabria;Santander;434.774,1;4.812.718,1;125;55;0;0;0;0;0;0;0;;TANTIN
R1-005;Cantabria;Vega de Liébana;423.233,6;4.784.885,0;518;12;0,99;0;4,78;0;0;0;0;;TORANZO
R1-005;Cantabria;Vega de Liébana;423.233,6;4.784.885,0;518;55;0;0;0;0;0;0;0;;TORANZO
R1-005;Cantabria;Molledo;414.840,3;4.774.617,7;363;12;0,83;0;7,62;10;0;0;0;;TORINA
R1-005;Cantabria;Molledo;414.840,3;4.774.617,7;363;55;0;0;8,35;0;0;0;0;;TORINA
R1-005;Cantabria;Bárcena de Cicero;461.484,1;4.804.916,5;54;12;0,65;0;17,20;0;0;0;0;;TRETO
R1-005;Cantabria;Bárcena de Cicero;461.484,1;4.804.916,5;54;55;0;0;5,15;0;0;0;0;;TRETO
R1-005;Cantabria;Ampuero;462.599,0;4.796.835,7;1756;12;0,73;0;9,15;0;0;0;0;;UDALLA
R1-005;Cantabria;Ampuero;462.599,0;4.796.835,7;1756;55;0;0;0;0;0;0;0;;UDALLA
R1-005;Cantabria;Peñarrubia;367.384,4;4.791.692,3;604;30;0,00;0;4,16;0;0;0;0;;URDON
R1-005;Cantabria;Peñarrubia;367.384,4;4.791.692,3;604;132;3,00;0;0;0;0;0;0;;URDON
R1-005;Cantabria;Santander;432.991,5;4.811.624,0;22;12;0,00;0;7,01;0;0;0;0;;VALDECILLA
R1-005;Cantabria;Santander;432.991,5;4.811.624,0;22;55;0;0;5;0;0;0;0;;VALDECILLA
R1-005;Cantabria;Valdeolea;404.842,0;4.747.593,8;389;12;0,66;0;0,84;0;0;0;0;;VALDEOLEA
R1-005;Cantabria;Valdeolea;404.842,0;4.747.593,8;389;30;0;0;0;0;0;0;0;;VALDEOLEA
R1-005;Lugo;Viveiro;132.447,0;4.836.310,7;1067;132;100;0;0;0;0;0;0;Capacidad disponible sujeta a la actualización del valor de referencia en el nudo de Boimente 400. Capacidad limitada según art. 3.2 Especificaciones de Detalle Capacidad Firme;BOIMENTE
R1-005;Lugo;Vilalba;122.821,1;4.818.556,3;1039;132;70;0;0;0;0;0;0;Capacidad disponible sujeta a la actualización del valor de referencia en el nudo de Boimente 400;CARBA
R1-005;Lugo;Mondoñedo;142.917,8;4.817.884,0;313;132;100;0;0;0;0;0;0;Capacidad disponible sujeta a la actualización del valor de referencia en el nudo de Boimente 400. Capacidad limitada según art. 3.2 Especificaciones de Detalle Capacidad Firme;ESTELO
R1-005;Lugo;Fonsagrada (A);163.587,0;4.778.438,6;1755;132;80;0;0;0;0;0;0;Capacidad disponible sujeta a la actualización del valor de referencia en el nudo de Boimente 400;FONSAGRADA
