ID;TERMS (PT-NPT);RELATIONS;PT;MT
3401;Antigua;USE;Antigua y Barbuda;7236 geografía política
5713;Antigua República Yugoslava de Macedonia;USE;Macedonia del Norte;7206 Europa
5713;Antigua República Yugoslava de Macedonia;USE;Macedonia del Norte;7231 geografía económica
5713;Antigua República Yugoslava de Macedonia;USE;Macedonia del Norte;7236 geografía política
3401;Antigua y Barbuda;;;7216 América
3401;Antigua y Barbuda;;;7231 geografía económica
3401;Antigua y Barbuda;;;7236 geografía política
2042;Antillas Holandesas;USE;Antillas Neerlandesas;7216 América
1180;Antillas Mayores;USE;Grandes Antillas;7216 América
2362;Antillas Menores;USE;Pequeñas Antillas;7216 América
2042;Antillas Neerlandesas;;;7216 América
2032;Antillas francesas;;;7216 América
2024;Antillas inglesas;;;7216 América
4698;Antiope;USE;teletexto;3226 comunicación
1983;Antártida;;;5211 medio natural
2570;Apulia;;;7211 regiones de los Estados miembros de la UE
2328;Aquitania;;;7211 regiones de los Estados miembros de la UE
2336;Arabia Saudí;;;7226 Asia-Oceanía
2336;Arabia Saudí;;;7231 geografía económica
2336;Arabia Saudí;;;7236 geografía política
8517;Arad;;;7211 regiones de los Estados miembros de la UE
2354;Aragón;;;7211 regiones de los Estados miembros de la UE
6155;Arancel Integrado de las Comunidades Europeas;USE;TARIC;2011 política arancelaria
6155;Arancel integrado de la Unión Europea;USE;TARIC;2011 política arancelaria
1860;Ararteko;USE;Defensor del Pueblo;0436 poder ejecutivo y administración pública
5443;Arco atlántico;;;1616 región y política regional
1196;Argelia;;;7221 África
1196;Argelia;;;7231 geografía económica
1196;Argelia;;;7236 geografía política
2525;Argentina;;;7216 América
2525;Argentina;;;7231 geografía económica
2525;Argentina;;;7236 geografía política
8521;Arges;;;7211 regiones de los Estados miembros de la UE
3442;Armada;USE;marina de guerra;0821 defensa
5445;Armenia;;;7206 Europa
5445;Armenia;;;7236 geografía política
2820;Aruba;;;7216 América
2820;Aruba;;;7241 países y territorios de ultramar
2243;Asamblea Europea;USE;Parlamento Europeo;1006 instituciones de la Unión Europea y función pública europea
2885;Asamblea General ONU;;;7606 Naciones Unidas
2885;Asamblea General de las Naciones Unidas;USE;Asamblea General ONU;7606 Naciones Unidas
5132;Asamblea Paritaria ACP-UE;;;1016 construcción europea
2243;Asamblea Parlamentaria Europea;USE;Parlamento Europeo;1006 instituciones de la Unión Europea y función pública europea
5132;Asamblea consultiva ACP-CE;USE;Asamblea Paritaria ACP-UE;1016 construcción europea
5132;Asamblea paritaria ACP-CE;USE;Asamblea Paritaria ACP-UE;1016 construcción europea
2838;Asia;;;7226 Asia-Oceanía
956;Asia Oriental;USE;Extremo Oriente;7226 Asia-Oceanía
5448;Asia central;;;7226 Asia-Oceanía
956;Asia del Este;USE;Extremo Oriente;7226 Asia-Oceanía
2858;Asia del Sudeste;USE;Sudeste Asiático;7226 Asia-Oceanía
2848;Asia del Sur;;;7226 Asia-Oceanía
2848;Asia meridional;USE;Asia del Sur;7226 Asia-Oceanía
2705;Asia occidental;USE;Cercano y Medio Oriente;7226 Asia-Oceanía
6373;Asociación Euromediterránea;USE;Unión para el Mediterráneo;0811 política de cooperación
421;Asociación Europea de Centros Nacionales de Productividad;;;7611 organizaciones europeas
4046;Asociación Europea de Cooperación;;;1006 instituciones de la Unión Europea y función pública europea
168;Asociación Europea de Institutos de Investigación y de Formación en el ámbito del Desarrollo;USE;EADI;7611 organizaciones europeas
168;Asociación Europea de Institutos de Investigación y de Formación en el ámbito del Desarrollo;USE;EADI;7626 organizaciones no gubernamentales
176;Asociación Europea de Libre Comercio;USE;AELC;7611 organizaciones europeas
703;Asociación Internacional de Fomento;;;7606 Naciones Unidas
