season,series,datetime,demand_mw
summer,Scheduled,2024-07-15T06:10:00.000+02:00,25758
summer,Scheduled,2024-07-15T06:15:00.000+02:00,26358
summer,Scheduled,2024-07-15T06:20:00.000+02:00,26358
summer,Scheduled,2024-07-15T06:25:00.000+02:00,26358
summer,Scheduled,2024-07-15T06:30:00.000+02:00,27008
summer,Scheduled,2024-07-15T06:35:00.000+02:00,27008
summer,Scheduled,2024-07-15T06:40:00.000+02:00,27008
summer,Scheduled,2024-07-15T06:45:00.000+02:00,27718
summer,Scheduled,2024-07-15T06:50:00.000+02:00,27718
summer,Scheduled,2024-07-15T06:55:00.000+02:00,27718
summer,Scheduled,2024-07-15T07:00:00.000+02:00,28721
summer,Scheduled,2024-07-15T07:05:00.000+02:00,28721
summer,Scheduled,2024-07-15T07:10:00.000+02:00,28721
summer,Scheduled,2024-07-15T07:15:00.000+02:00,29142
summer,Scheduled,2024-07-15T07:20:00.000+02:00,29142
summer,Scheduled,2024-07-15T07:25:00.000+02:00,29142
summer,Scheduled,2024-07-15T07:30:00.000+02:00,29482
summer,Scheduled,2024-07-15T07:35:00.000+02:00,29482
summer,Scheduled,2024-07-15T07:40:00.000+02:00,29482
summer,Scheduled,2024-07-15T07:45:00.000+02:00,29932
summer,Scheduled,2024-07-15T07:50:00.000+02:00,29932
summer,Scheduled,2024-07-15T07:55:00.000+02:00,29932
summer,Scheduled,2024-07-15T08:00:00.000+02:00,30555
summer,Scheduled,2024-07-15T08:05:00.000+02:00,30555
summer,Scheduled,2024-07-15T08:10:00.000+02:00,30555
summer,Scheduled,2024-07-15T08:15:00.000+02:00,30645
summer,Scheduled,2024-07-15T08:20:00.000+02:00,30645
summer,Scheduled,2024-07-15T08:25:00.000+02:00,30645
summer,Scheduled,2024-07-15T08:30:00.000+02:00,30945
summer,Scheduled,2024-07-15T08:35:00.000+02:00,30945
summer,Scheduled,2024-07-15T08:40:00.000+02:00,30945
summer,Scheduled,2024-07-15T08:45:00.000+02:00,31435
summer,Scheduled,2024-07-15T08:50:00.000+02:00,31435
summer,Scheduled,2024-07-15T08:55:00.000+02:00,31435
summer,Scheduled,2024-07-15T09:00:00.000+02:00,31770
summer,Scheduled,2024-07-15T09:05:00.000+02:00,31770
summer,Scheduled,2024-07-15T09:10:00.000+02:00,31770
summer,Scheduled,2024-07-15T09:15:00.000+02:00,31823
summer,Scheduled,2024-07-15T09:20:00.000+02:00,31823
summer,Scheduled,2024-07-15T09:25:00.000+02:00,31823
summer,Scheduled,2024-07-15T09:30:00.000+02:00,32158
summer,Scheduled,2024-07-15T09:35:00.000+02:00,32158
summer,Scheduled,2024-07-15T09:40:00.000+02:00,32158
summer,Scheduled,2024-07-15T09:45:00.000+02:00,32621
summer,Scheduled,2024-07-15T09:50:00.000+02:00,32621
summer,Scheduled,2024-07-15T09:55:00.000+02:00,32621
summer,Scheduled,2024-07-15T10:00:00.000+02:00,32794
summer,Scheduled,2024-07-15T10:05:00.000+02:00,32794
summer,Scheduled,2024-07-15T10:10:00.000+02:00,32794
summer,Scheduled,2024-07-15T10:15:00.000+02:00,32927
summer,Scheduled,2024-07-15T10:20:00.000+02:00,32927
summer,Scheduled,2024-07-15T10:25:00.000+02:00,32927
summer,Scheduled,2024-07-15T10:30:00.000+02:00,33211
summer,Scheduled,2024-07-15T10:35:00.000+02:00,33211
summer,Scheduled,2024-07-15T10:40:00.000+02:00,33211
summer,Scheduled,2024-07-15T10:45:00.000+02:00,33033
summer,Scheduled,2024-07-15T10:50:00.000+02:00,33033
summer,Scheduled,2024-07-15T10:55:00.000+02:00,33033
summer,Scheduled,2024-07-15T11:00:00.000+02:00,33173
summer,Scheduled,2024-07-15T11:05:00.000+02:00,33173
summer,Scheduled,2024-07-15T11:10:00.000+02:00,33173
summer,Scheduled,2024-07-15T11:15:00.000+02:00,33153
summer,Scheduled,2024-07-15T11:20:00.000+02:00,33153
summer,Scheduled,2024-07-15T11:25:00.000+02:00,33153
summer,Scheduled,2024-07-15T11:30:00.000+02:00,33253
summer,Scheduled,2024-07-15T11:35:00.000+02:00,33253
summer,Scheduled,2024-07-15T11:40:00.000+02:00,33253
summer,Scheduled,2024-07-15T11:45:00.000+02:00,33173
summer,Scheduled,2024-07-15T11:50:00.000+02:00,33173
summer,Scheduled,2024-07-15T11:55:00.000+02:00,33173
summer,Scheduled,2024-07-15T12:00:00.000+02:00,33572
summer,Scheduled,2024-07-15T12:05:00.000+02:00,33572
summer,Scheduled,2024-07-15T12:10:00.000+02:00,33572
summer,Scheduled,2024-07-15T12:15:00.000+02:00,33662
summer,Scheduled,2024-07-15T12:20:00.000+02:00,33662
summer,Scheduled,2024-07-15T12:25:00.000+02:00,33662
summer,Scheduled,2024-07-15T12:30:00.000+02:00,33668
summer,Scheduled,2024-07-15T12:35:00.000+02:00,33668
summer,Scheduled,2024-07-15T12:40:00.000+02:00,33668
summer,Scheduled,2024-07-15T12:45:00.000+02:00,33971
summer,Scheduled,2024-07-15T12:50:00.000+02:00,33971
summer,Scheduled,2024-07-15T12:55:00.000+02:00,33971
summer,Scheduled,2024-07-15T13:00:00.000+02:00,33985
summer,Scheduled,2024-07-15T13:05:00.000+02:00,33985
summer,Scheduled,2024-07-15T13:10:00.000+02:00,33985
summer,Scheduled,2024-07-15T13:15:00.000+02:00,34177
summer,Scheduled,2024-07-15T13:20:00.000+02:00,34177
