;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
201301;Enero de 2013;1;Andalucía;11;Cádiz;11014;Conil de la Frontera;431;3;291;5;1;124;7;34;6;116;275
201301;Enero de 2013;1;Andalucía;11;Cádiz;11015;Chiclana de la Frontera;1141;22;663;17;17;412;10;21;84;199;837
201301;Enero de 2013;1;Andalucía;11;Cádiz;11016;Chipiona;502;4;241;1;5;250;1;235;7;88;172
201301;Enero de 2013;1;Andalucía;11;Cádiz;11017;Espera;192;0;134;0;0;58;0;49;1;81;61
201301;Enero de 2013;1;Andalucía;11;Cádiz;11018;Gastor, El;82;0;41;0;0;41;0;37;0;4;41
201301;Enero de 2013;1;Andalucía;11;Cádiz;11019;Grazalema;65;0;41;1;0;22;1;12;1;3;49
201301;Enero de 2013;1;Andalucía;11;Cádiz;11020;Jerez de la Frontera;6383;52;3797;44;82;2368;40;1429;320;447;4187
201301;Enero de 2013;1;Andalucía;11;Cádiz;11021;Jimena de la Frontera;185;4;132;0;3;43;3;71;6;20;88
201301;Enero de 2013;1;Andalucía;11;Cádiz;11022;Línea de la Concepción, La;663;52;245;24;14;315;13;1;39;67;556
201301;Enero de 2013;1;Andalucía;11;Cádiz;11023;Medina-Sidonia;275;1;153;3;2;115;1;101;4;24;146
201301;Enero de 2013;1;Andalucía;11;Cádiz;11024;Olvera;618;2;305;1;0;310;0;465;9;63;81
201301;Enero de 2013;1;Andalucía;11;Cádiz;11025;Paterna de Rivera;86;0;40;1;0;45;0;7;2;33;44
