substation_name,provincia,municipio,utm_x,utm_y,available_capacity_mw,voltage_kv,distributor_network,latitude,longitude
7108,Albacete,Albacete,607994.665750109,4290496.68887117,0.0,66.0,i-DE,38.75656897179713,-1.757098657623786
4070,Albacete,Pozohondo,594736.639894834,4285911.76650033,0.0,66.0,i-DE,38.71678107635769,-1.9102846452046083
4070,Albacete,Pozohondo,594736.639894834,4285911.76650033,0.0,20.0,i-DE,38.71678107635769,-1.9102846452046083
4070,Albacete,Pozohondo,594736.639894834,4285911.76650033,0.0,20.0,i-DE,38.71678107635769,-1.9102846452046083
3704,Albacete,Casas de Ves,646112.121583348,4340918.73204351,0.0,66.0,i-DE,39.2052575198527,-1.3077821324944805
4026,Albacete,La Recueja,633643.436000941,4332956.22381024,0.0,20.0,i-DE,39.135540722149486,-1.4537103265906017
4026,Albacete,La Recueja,633643.436000941,4332956.22381024,0.0,66.0,i-DE,39.135540722149486,-1.4537103265906017
3501,Alicante/Alacant,Alcoi/Alcoy,719017.974573198,4287258.71373973,18.24,132.0,i-DE,38.706858607943055,-0.48122265271845355
3501,Alicante/Alacant,Alcoi/Alcoy,719017.974573198,4287258.71373973,0.0,66.0,i-DE,38.706858607943055,-0.48122265271845355
3501,Alicante/Alacant,Alcoi/Alcoy,719017.974573198,4287258.71373973,0.15,20.0,i-DE,38.706858607943055,-0.48122265271845355
