substation_name,provincia,municipio,latitude,longitude,available_capacity_mw,distributor_network,voltage_kv,grid_status,is_friction
3222,Cuenca,Iniesta,39.44003590875235,-1.716980877707229,0.0,i-DE,132.0,Congested,True
3223,Castellón/Castelló,Betxí,39.92827215896168,-0.1780474686774018,0.0,i-DE,66.0,Congested,True
3224,Madrid,Fuenlabrada,40.29131802550048,-3.8169215357632913,0.24,i-DE,15.0,Congested,True
3225,León,Cubillas de Rueda,42.63309388233943,-5.2019646523637295,0.0,i-DE,132.0,Congested,True
3227,Madrid,Alcobendas,40.5488775262419,-3.6509830314080705,9.61,i-DE,20.0,Sufficient,False
3229,Zamora,Bretó,41.85220297106231,-5.741424852667363,0.0,i-DE,132.0,Congested,True
3231,Valladolid,Valladolid,41.647637901146055,-4.742820169753462,26.44,i-DE,13.2,Sufficient,False
3232,Alicante/Alacant,San Miguel de Salinas,38.00034965154252,-0.7652387275401643,1.46,i-DE,20.0,Moderate,True
3236,Valladolid,La Mudarra,41.79073520435173,-4.9384998011366426,0.0,i-DE,45.0,Congested,True
3239,Guadalajara,Brihuega,40.74838258559889,-2.982571618836047,0.0,i-DE,132.0,Congested,True
3240,Murcia,Lorca,37.67285312361958,-1.5216403217231325,0.0,i-DE,132.0,Congested,True
3246,Valencia/València,Sagunt/Sagunto,39.64914126710642,-0.2473443197545092,0.0,i-DE,20.0,Congested,True
3248,Murcia,Lorca,37.726488427343895,-1.696215905809167,0.0,i-DE,132.0,Congested,True
3249,Toledo,Villaluenga de la Sagra,40.028107921496385,-3.893889280729544,0.0,i-DE,132.0,Congested,True
3251,Valencia/València,Alzira,39.13291913181854,-0.4144782251543163,0.0,i-DE,66.0,Congested,True
3252,Palencia,Velilla del Río Carrión,42.81834968776433,-4.852614385376765,9.5,i-DE,132.0,Sufficient,False
3258,Lugo,Quiroga,42.392163416137976,-7.219129081015557,35.0,i-DE,132.0,Sufficient,False
3260,Ourense,A Pobra de Trives,42.3746096311273,-7.235158883243543,35.0,i-DE,132.0,Sufficient,False
3267,Guadalajara,Cabanillas del Campo,40.61609645260097,-3.2511998069605963,0.0,i-DE,132.0,Congested,True
3270,Madrid,Madrid,40.47932050334606,-3.689248488225889,7.24,i-DE,20.0,Sufficient,False
3271,Burgos,Mambrillas de Lara,42.12561848104066,-3.521362806062967,0.0,i-DE,132.0,Congested,True
3273,Albacete,Villarrobledo,39.075353979605715,-2.6740967785050436,0.0,i-DE,132.0,Congested,True
3277,Alicante/Alacant,la Nucia,38.59626056008617,-0.1395426408438525,0.0,i-DE,132.0,Congested,True
3279,Navarra,Doneztebe/Santesteban,43.13260653000374,-1.6533002381049873,1.85,i-DE,132.0,Moderate,True
3280,Murcia,Murcia,38.05760945355314,-1.1473415805922726,0.0,i-DE,132.0,Congested,True
3281,Badajoz,Castuera,38.73506274345373,-5.531407876757481,0.0,i-DE,132.0,Congested,True
3283,Valladolid,Boecillo,41.525536736441666,-4.714240425508812,0.0,i-DE,45.0,Congested,True
3284,Toledo,Talavera de la Reina,39.964579706942814,-4.787828841265032,0.91,i-DE,20.0,Congested,True
3285,León,Villamañán,42.316547458247186,-5.593069303243175,0.0,i-DE,132.0,Congested,True
3286,Salamanca,Babilafuente,40.968541746432464,-5.439274908895066,0.0,i-DE,132.0,Congested,True
3287,Murcia,Murcia,37.96473955881549,-1.1349411054552072,0.0,i-DE,20.0,Congested,True
3288,Murcia,Torre-Pacheco,37.79743467297953,-0.9586271387795822,0.0,i-DE,20.0,Congested,True
3290,Guadalajara,Torija,40.758048827651855,-3.028443788301471,0.0,i-DE,132.0,Congested,True
3291,Murcia,Alhama de Murcia,37.85399976057678,-1.4023285182808831,0.0,i-DE,132.0,Congested,True
3292,Ávila,Ávila,40.65074746108036,-4.683480666494831,0.0,i-DE,132.0,Congested,True
3298,Madrid,Alcorcón,40.325680800237535,-3.838660023565261,0.0,i-DE,45.0,Congested,True
3299,Burgos,Salas de los Infantes,42.00391722384329,-3.2693901809705745,0.0,i-DE,132.0,Congested,True
3302,Bizkaia,Sondika,43.28000657810727,-2.92626831970343,0.0,i-DE,132.0,Congested,True
3305,Madrid,Madrid,40.41741917782087,-3.6657615839114657,30.41,i-DE,132.0,Sufficient,False
3306,Madrid,Madrid,40.45835635920604,-3.7292427000540105,0.0,i-DE,132.0,Congested,True
3307,Madrid,Madrid,40.47392856248199,-3.700632350549599,21.01,i-DE,132.0,Sufficient,False
3308,Madrid,Madrid,40.51757738407813,-3.6706328174039338,3.63,i-DE,132.0,Moderate,True
3309,Madrid,Madrid,40.40761326656495,-3.72015594989513,25.39,i-DE,132.0,Sufficient,False
3310,Madrid,Madrid,40.49095974581051,-3.7173261936992135,1.33,i-DE,20.0,Moderate,True
3311,Madrid,Madrid,40.35025982953646,-3.7023173091391097,0.0,i-DE,15.0,Congested,True
3312,Madrid,Madrid,40.37923269464382,-3.762505754429715,0.0,i-DE,45.0,Congested,True
3313,Madrid,Madrid,40.40081823832916,-3.7609691691459575,20.84,i-DE,20.0,Sufficient,False
3314,Madrid,Madrid,40.34366619076663,-3.6686769769391554,0.0,i-DE,132.0,Congested,True
3315,Madrid,Madrid,40.39607854784703,-3.7027203824006167,14.5,i-DE,15.0,Sufficient,False
3316,Madrid,Madrid,40.3864781432427,-3.7175127190149326,0.8,i-DE,15.0,Congested,True
3320,Madrid,Getafe,40.31025991570385,-3.750747582907928,0.0,i-DE,15.0,Congested,True
3325,"Rioja, La",Haro,42.56842499856411,-2.8851395604277528,0.0,i-DE,66.0,Congested,True
3327,Burgos,Burgos,42.379879395882114,-3.706374164486873,0.0,i-DE,45.0,Congested,True
3339,Burgos,Valdorros,42.16661638366283,-3.7047868700759623,0.0,i-DE,45.0,Congested,True
3341,Gipuzkoa,Bergara,43.117166098061944,-2.4227332782033253,0.0,i-DE,30.0,Congested,True
3350,Cáceres,Cáceres,39.50673853208494,-6.424146628934243,0.0,i-DE,45.0,Congested,True
3351,Albacete,Tobarra,38.59508461805008,-1.7525731666778477,0.0,i-DE,132.0,Congested,True
3356,Madrid,Majadahonda,40.48779135897745,-3.894230297825857,0.0,i-DE,20.0,Congested,True
3361,Burgos,Arauzo de Miel,41.85726683591342,-3.397669204183961,0.0,i-DE,132.0,Congested,True
3362,Soria,Villaciervos,41.74943454009771,-2.6265993986751757,0.0,i-DE,132.0,Congested,True
3368,Albacete,Pozohondo,38.659314227124064,-1.8540204226878856,0.0,i-DE,132.0,Congested,True
3369,Salamanca,Guijuelo,40.53668023031,-5.669348163618577,0.0,i-DE,132.0,Congested,True
3372,Madrid,San Fernando de Henares,40.42872634123285,-3.4985541874212207,0.0,i-DE,132.0,Congested,True
