segment_id,Carretera,road_prefix,PK_inicio,PK_fin,length_km,imd_total,imd_ligeros,imd_pesados,n_stations,is_tent,max_spacing_km,cod_prov
207,N-120,N,117.3,172.3,55.484109375,1965.2142857142858,1746.7857142857142,218.42857142857142,28.0,False,120,09
208,N-120,N,174.61,264.72,90.1682890625,376.75,338.2083333333333,38.541666666666664,24.0,False,120,34
209,N-120,N,302.445,302.725,0.8124131469726562,4754.275,,,,False,120,24
210,N-120,N,305.21,307.67,2.460872802734375,4754.275,,,,True,60,24
211,N-120,N,307.67,311.47,3.802884521484375,12319.5,11828.0,491.5,4.0,True,60,24
212,N-120,N,311.47,312.68,1.1892943115234376,8672.25,8163.25,509.0,4.0,True,60,24
213,N-120,N,312.68,313.19,0.5033509216308594,4754.275,,,,True,60,24
214,N-120,N,313.19,347.1,34.17252734375,9829.9375,8558.8125,1271.125,16.0,False,120,24
215,N-120,N,426.0,500.67,74.3466640625,4804.8,4145.0,659.8,20.0,False,120,32
216,N-120,N,500.67,502.82,2.20559765625,4754.275,,,,False,120,27
217,N-120,N,502.82,567.0,62.6248515625,5051.75,4422.821428571428,628.9285714285714,28.0,False,120,27
218,N-120,N,567.0,568.06,1.1029691162109374,4754.275,,,,False,120,32
219,N-120,N,568.75,569.3,0.5570244140625,6218.75,5652.25,566.5,4.0,False,120,32
220,N-120,N,569.3,569.67,0.3593700866699219,4754.275,,,,False,120,32
221,N-125,N,3.95,8.56,4.61203125,8748.25,8076.5,671.75,4.0,True,60,50
222,N-125,N,8.56,10.08,1.520674560546875,8748.25,,,,True,60,50
223,N-126,N,0.0,2.2,1.719106201171875,6616.5,5594.5,1022.0,4.0,False,120,26
224,N-141,N,0.0,8.35,8.2955078125,419.75,410.25,9.5,4.0,False,120,25
225,N-145,N,0.5,9.7,9.1598134765625,13888.57142857143,13254.285714285714,634.2857142857143,7.0,False,120,25
226,N-152,N,0.0,1.74,1.742572509765625,7859.75,7777.125,82.625,8.0,True,60,17
227,N-154,N,0.0,1.48,1.4635465087890625,7164.25,6726.75,437.5,4.0,False,120,17
228,N-154,N,3.2,7.86,4.65664892578125,6762.75,6604.5,158.25,4.0,False,120,17
229,N-155,N,0.05,0.565,0.5685567626953125,1952.5,1861.5,91.0,4.0,False,120,17
230,N-156,N,0.0,0.53,0.5299515380859375,7462.0,6202.25,1259.75,4.0,False,120,17
231,N-156,N,0.53,1.58,1.0523287353515625,5060.75,4179.75,881.0,4.0,False,120,17
232,N-1A,N,18.9,20.0,1.1157965087890624,12290.0,11874.75,415.25,4.0,False,120,28
233,N-1A,N,22.68,23.0,0.42210958862304687,15031.0,14530.5,500.5,4.0,False,120,28
234,N-1A,N,55.05,57.55,2.6125771484375,4566.25,4415.25,151.0,4.0,False,120,28
235,N-1A,N,72.0,77.5,5.44273486328125,3035.0,2931.25,103.75,4.0,False,120,28
236,N-1A,N,90.9,93.4,1.9096358642578124,3481.625,,,,False,120,28
237,N-1A,N,98.7,100.0,1.40176953125,473.25,456.5,16.75,4.0,False,120,40
238,N-1A,N,101.2,103.7,2.478205810546875,3481.625,,,,False,120,40
239,N-1A,N,109.2,110.5,1.277353759765625,235.0,201.0,34.0,4.0,False,120,40
240,N-1A,N,136.67,137.3,0.6323081665039062,3481.625,,,,False,120,40
241,N-1A,N,155.25,157.25,2.248974609375,3928.25,3141.5,786.75,4.0,False,120,09
242,N-1A,N,158.14,160.16,2.381689208984375,5264.0,4541.333333333333,722.6666666666666,3.0,False,120,09
243,N-211A,N,180.15,185.57,5.6124736328125,131.25,117.0,14.25,4.0,False,120,44
244,N-211A,N,243.6,245.4,1.7263199462890626,131.25,,,,False,120,44
245,N-220,N,0.0,2.05,2.0344532470703127,36286.25,33798.5,2487.75,4.0,False,120,46
246,N-223,N,0.0,1.03,1.0463436279296876,4187.75,3991.75,196.0,4.0,False,120,44
247,N-223,N,1.03,2.06,1.11464697265625,11402.5,11080.75,321.75,4.0,False,120,44
248,N-223,N,2.06,2.37,0.387302978515625,7795.125,,,,False,120,44
249,N-225,N,0.0,16.0,15.1883349609375,5383.625,4392.25,991.375,8.0,False,120,46
250,N-225,N,19.0,23.36,4.160353515625,7333.75,6568.5,765.25,4.0,False,120,12
251,N-225,N,42.7,43.6,0.8128204345703125,6615.75,5377.75,1238.0,4.0,False,120,12
252,N-225,N,47.92,51.49,3.5724169921875,3637.5,3468.5,169.0,4.0,False,120,12
253,N-225A,N,5.002,10.95,6.22325439453125,70.25,67.25,3.0,4.0,False,120,46
254,N-230,N,6.635,6.76,0.12367517852783202,3689.6332417582416,,,,False,120,25
255,N-230,N,6.76,122.39,114.4248671875,3923.980769230769,3459.2115384615386,464.7692307692308,52.0,True,60,22
256,N-230,N,122.39,187.09,64.02562109375,3455.285714285714,2979.3214285714284,475.9642857142857,28.0,True,60,25
257,N-232,N,0.0,0.38,0.3575226135253906,4619.749125874126,,,,False,120,12
258,N-232,N,0.38,77.4,72.464609375,3966.0454545454545,3415.909090909091,550.1363636363636,22.0,False,120,12
259,N-232,N,89.75,223.82,133.743015625,4761.134615384615,4128.807692307692,632.3269230769231,52.0,False,120,44
260,N-232,N,242.6,251.96,9.459,15689.142857142857,15033.857142857143,655.2857142857143,7.0,False,120,50
261,N-232,N,293.6,296.78,3.313265869140625,4619.749125874126,,,,False,120,50
262,N-232,N,329.6,330.875,1.246544921875,4619.749125874126,,,,False,120,31
263,N-232,N,330.875,399.585,68.7138203125,7426.275,6594.475,831.8,40.0,False,120,26
264,N-232,N,417.925,473.4,55.91087890625,4478.363636363636,3969.068181818182,509.29545454545456,44.0,False,120,26
