segment_id,route_segment,corridor,is_tent,daily_bev_traffic_2027,seasonal_multiplier,n_chargers_det,n_chargers_abm,n_chargers_stoch,delta_seasonal,delta_mc_noise,simulated_charging_rate,capacity_kw_abm
68,A-6,Atlantic,True,589.9,1.5,4,4,4,0,0,0.1255,600
69,A-6,Atlantic,True,579.7,1.5,4,4,4,0,0,0.1365,600
70,A-6,Atlantic,True,589.9,1.5,4,4,4,0,0,0.1285,600
71,A-6,Atlantic,True,710.3,1.5,4,4,4,0,0,0.118,600
72,A-6,Atlantic,True,251.6,1.5,4,4,4,0,0,0.108,600
73,A-6,Atlantic,True,458.2,1.5,4,4,4,0,0,0.13,600
74,A-6,Atlantic,True,317.9,1.5,4,4,4,0,0,0.133,600
75,A-6,Atlantic,True,621.8,1.5,4,4,4,0,0,0.1345,600
76,A-6,Atlantic,True,589.1,1.5,4,4,4,0,0,0.133,600
77,A-6,Atlantic,True,617.1,1.5,4,4,4,0,0,0.1085,600
78,A-6,Atlantic,False,428.1,1.5,2,2,2,0,0,0.122,300
79,A-60,Atlantic,False,311.5,1.5,2,2,2,0,0,0.133,300
80,A-60,Atlantic,False,367.5,1.5,2,2,2,0,0,0.123,300
81,A-62,Atlantic,True,477.5,1.5,4,4,4,0,0,0.13,600
82,A-62,Atlantic,True,986.2,1.5,4,4,4,0,0,0.1265,600
83,A-62,Atlantic,True,948.8,1.5,4,4,4,0,0,0.116,600
84,A-62,Atlantic,True,1356.6,1.5,4,5,5,1,0,0.1255,750
85,A-62,Atlantic,True,679.7,1.5,4,4,4,0,0,0.1255,600
86,A-62,Atlantic,True,449.6,1.5,4,4,4,0,0,0.129,600
87,A-62,Atlantic,True,917.0,1.5,4,4,4,0,0,0.123,600
88,A-62,Atlantic,True,274.9,1.5,4,4,4,0,0,0.13,600
89,A-62,Atlantic,False,679.7,1.5,2,3,3,1,0,0.1185,450
90,A-62,Atlantic,True,183.5,1.5,4,4,4,0,0,0.139,600
91,A-63,Atlantic,False,416.5,1.5,2,2,2,0,0,0.13,300
92,A-63R,Atlantic,False,196.8,1.5,2,2,2,0,0,0.1295,300
93,A-64,Atlantic,True,868.7,1.5,4,4,4,0,0,0.1325,600
94,A-65,Atlantic,True,273.7,1.5,4,4,4,0,0,0.141,600
95,A-66,Atlantic,True,1798.0,1.5,4,6,8,2,2,0.1425,900
96,A-66,Atlantic,True,1501.3,1.5,4,5,6,1,1,0.1295,750
97,A-66,Atlantic,True,867.4,1.5,4,4,4,0,0,0.1205,600
98,A-66,Atlantic,True,624.5,1.5,4,4,4,0,0,0.1155,600
99,A-66,Atlantic,False,464.3,1.5,2,2,2,0,0,0.11,300
100,A-66,Atlantic,True,376.0,1.5,4,4,4,0,0,0.1315,600
101,A-66,Atlantic,True,383.9,1.5,4,4,4,0,0,0.1185,600
102,A-66,Atlantic,True,464.3,1.5,4,4,4,0,0,0.1325,600
103,A-66,Atlantic,True,228.4,1.5,4,4,4,0,0,0.115,600
104,A-66,Atlantic,True,245.5,1.5,4,4,4,0,0,0.1095,600
105,A-66,Atlantic,True,271.9,1.5,4,4,4,0,0,0.1235,600
106,A-66,Atlantic,True,739.8,1.5,4,4,4,0,0,0.1245,600
107,A-66,Atlantic,True,377.5,1.5,4,4,4,0,0,0.1345,600
108,A-66,Atlantic,True,421.3,1.5,4,4,4,0,0,0.1355,600
109,A-66,Atlantic,True,393.2,1.5,4,4,4,0,0,0.1215,600
110,A-66,Atlantic,True,573.3,1.5,4,4,4,0,0,0.1215,600
111,A-66,Atlantic,True,507.4,1.5,4,4,4,0,0,0.1175,600
112,A-66,Atlantic,True,954.4,1.5,4,4,4,0,0,0.134,600
113,A-67,Atlantic,True,585.5,1.5,4,4,4,0,0,0.122,600
114,A-67,Atlantic,False,252.5,1.5,2,2,2,0,0,0.1305,300
