segment_id,route_segment,daily_bev_traffic_2027,n_chargers_needed,seasonal_multiplier,is_tent,tent_tier,imd_total,length_km
268,N-232A,2.6,2,1.0,False,none,77.0,1.065023681640625
269,N-232A,0.3,2,1.0,False,none,8.0,1.114805908203125
270,N-232A,6.3,2,1.0,False,none,183.5,0.26263742065429685
271,N-232A,9.9,2,1.0,False,none,290.0,1.8101278076171874
272,N-232A,6.3,2,1.0,False,none,183.5,1.0046284790039062
273,N-232A,0.2,2,1.0,False,none,6.5,0.17017694091796876
274,N-232A,6.3,2,1.0,False,none,183.5,0.8065134887695312
275,N-232A,2.3,2,1.0,False,none,67.5,2.986790771484375
276,N-232A,6.3,2,1.0,False,none,183.5,1.4743084716796875
277,N-232A,0.6,2,1.0,False,none,17.5,3.45303662109375
278,N-232A,19.5,2,1.0,False,none,569.5,3.885138427734375
279,N-232A,6.3,2,1.0,False,none,183.5,0.93746142578125
280,N-232A,161.6,2,1.0,False,none,4713.2,5.4694423828125
281,N-232A,77.3,2,1.0,False,none,2255.5,5.084783203125
282,N-232A,6.3,2,1.0,False,none,183.5,1.542498291015625
283,N-232A,20.2,2,1.0,False,none,589.0,2.658904541015625
284,N-240,74.6,2,1.0,False,none,2176.6,11.196671875
285,N-240,124.0,2,1.0,False,none,3616.2,54.17883984375
286,N-240,413.8,4,1.0,True,comprehensive,12070.0,7.53345703125
287,N-240,54.0,2,1.0,False,none,1574.9,57.31706640625
288,N-240,200.2,2,1.0,False,none,5838.2,12.2801484375
289,N-240,200.2,2,1.0,False,none,5838.2,33.2141484375
290,N-240A,2.9,2,1.0,False,none,83.5,1.9389134521484375
291,N-240A,235.8,2,1.0,False,none,6878.0,1.2530078125
292,N-240R,196.8,2,1.0,False,none,5740.9,1.0335159912109375
293,N-240R,196.8,2,1.0,False,none,5740.9,0.6753843383789062
294,N-240R,196.8,2,1.0,False,none,5740.9,0.61663525390625
295,N-240R,196.8,2,1.0,False,none,5740.9,2.253018310546875
296,N-240R,196.8,2,1.0,False,none,5740.9,1.2946304931640624
297,N-260,237.8,2,1.0,False,none,6935.6,33.1551796875
298,N-260,270.8,2,1.0,False,none,7898.6,23.251236328125
299,N-260,11.8,2,1.0,False,none,343.2,3.326230712890625
300,N-260,249.4,2,1.0,False,none,7274.0,29.722732421875
301,N-260,166.1,2,1.0,False,none,4845.8,62.04913671875
302,N-260,195.8,4,1.0,True,comprehensive,5710.5,14.0434375
303,N-260,179.0,2,1.0,False,none,5221.1,31.61753515625
304,N-260,120.5,2,1.0,False,none,3515.4,115.86634375
305,N-260,64.5,2,1.0,False,none,1882.6,128.6489765625
306,N-260A,1.1,2,1.0,False,none,33.5,4.72138720703125
307,N-260A,2.3,2,1.0,False,none,67.8,1.64389599609375
308,N-260A,3.0,2,1.0,False,none,87.5,3.592911376953125
309,N-260A,2.7,2,1.0,False,none,77.6,0.306349365234375
310,N-260A,82.3,2,1.0,False,none,2401.8,52.59409375
311,N-260R,103.2,4,1.0,True,comprehensive,3011.0,1.981527587890625
312,N-2A,464.8,2,1.0,False,none,13555.7,9.7820048828125
313,N-2A,398.1,2,1.0,False,none,11612.0,3.59554541015625
314,N-2A,702.1,2,1.0,False,none,20478.8,0.16935870361328126
315,N-2A,398.1,2,1.0,False,none,11612.0,3.5381708984375
316,N-2A,1.3,2,1.0,False,none,38.0,2.935049072265625
317,N-2A,331.5,2,1.0,False,none,9668.2,6.8071142578125
318,N-2R,20.0,2,1.0,False,none,584.5,1.401127197265625
319,N-2R,19.0,2,1.0,False,none,555.0,0.9467555541992188
320,N-2R,19.0,2,1.0,False,none,555.0,0.92137060546875
321,N-2R,16.6,2,1.0,False,none,485.5,1.164710205078125
322,N-301,114.5,2,1.0,False,none,3338.7,149.837125
323,N-301,34.1,2,1.0,False,none,994.1,17.528701171875
324,N-301,7.6,2,1.0,False,none,222.2,23.3665546875
325,N-301,117.1,2,1.0,False,none,3414.8,24.463486328125
326,N-301,23.3,2,1.0,False,none,679.0,22.050296875
327,N-301,34.1,2,1.0,False,none,994.1,3.6806171875
328,N-301,33.2,2,1.0,False,none,967.8,12.809822265625
329,N-301,53.9,2,1.0,False,none,1573.5,1.86230224609375
330,N-310,87.9,2,1.0,False,none,2563.2,1.3013304443359375
