segment_id,route_segment,imd_total,daily_bev_traffic_2027,seasonal_multiplier,simulated_charging_rate,n_chargers_stochastic,is_tent,tent_tier
290,N-240A,83.5,2.9,1.0,0.131,2,False,None
291,N-240A,6878.0,235.8,1.0,0.117,2,False,None
292,N-240R,5740.9,196.8,1.0,0.12,2,False,None
293,N-240R,5740.9,196.8,1.0,0.1265,2,False,None
294,N-240R,5740.9,196.8,1.0,0.142,2,False,None
295,N-240R,5740.9,196.8,1.0,0.119,2,False,None
296,N-240R,5740.9,196.8,1.0,0.129,2,False,None
297,N-260,6935.6,237.8,1.0,0.1185,2,False,None
298,N-260,7898.6,270.8,1.0,0.1285,2,False,None
299,N-260,343.2,11.8,1.0,0.125,2,False,None
300,N-260,7274.0,249.4,1.0,0.13,2,False,None
301,N-260,4845.8,166.1,1.0,0.1275,2,False,None
302,N-260,5710.5,195.8,1.0,0.1235,4,True,Comprehensive
303,N-260,5221.1,179.0,1.0,0.1175,2,False,None
304,N-260,3515.4,120.5,1.0,0.1215,2,False,None
305,N-260,1882.6,64.5,1.0,0.12,2,False,None
306,N-260A,33.5,1.1,1.0,0.1215,2,False,None
307,N-260A,67.8,2.3,1.0,0.117,2,False,None
308,N-260A,87.5,3.0,1.0,0.145,2,False,None
309,N-260A,77.6,2.7,1.0,0.12,2,False,None
310,N-260A,2401.8,82.3,1.0,0.1165,2,False,None
311,N-260R,3011.0,103.2,1.0,0.122,4,True,Comprehensive
312,N-2A,13555.7,464.8,1.0,0.143,2,False,None
313,N-2A,11612.0,398.1,1.0,0.1175,2,False,None
314,N-2A,20478.8,702.1,1.0,0.1245,2,False,None
315,N-2A,11612.0,398.1,1.0,0.1265,2,False,None
316,N-2A,38.0,1.3,1.0,0.1265,2,False,None
317,N-2A,9668.2,331.5,1.0,0.1225,2,False,None
318,N-2R,584.5,20.0,1.0,0.128,2,False,None
319,N-2R,555.0,19.0,1.0,0.126,2,False,None
320,N-2R,555.0,19.0,1.0,0.1225,2,False,None
321,N-2R,485.5,16.6,1.0,0.1175,2,False,None
322,N-301,3338.7,114.5,1.0,0.1285,2,False,None
323,N-301,994.1,34.1,1.0,0.1235,2,False,None
324,N-301,222.2,7.6,1.0,0.125,2,False,None
325,N-301,3414.8,117.1,1.0,0.129,2,False,None
326,N-301,679.0,23.3,1.0,0.129,2,False,None
327,N-301,994.1,34.1,1.0,0.118,2,False,None
328,N-301,967.8,33.2,1.0,0.1165,2,False,None
329,N-301,1573.5,53.9,1.0,0.116,2,False,None
330,N-310,2563.2,87.9,1.0,0.1265,2,False,None
331,N-310,1587.6,54.4,1.0,0.1045,2,False,None
332,N-320,4334.5,148.6,1.0,0.1275,2,False,None
333,N-320,5208.9,178.6,1.0,0.131,2,False,None
334,N-320,6083.3,208.6,1.0,0.136,2,False,None
335,N-320A,341.7,11.7,1.0,0.1235,2,False,None
336,N-323,4498.9,154.2,1.0,0.1155,4,True,Comprehensive
337,N-323,5916.8,202.9,1.0,0.13,2,False,None
338,N-323,4498.9,154.2,1.0,0.1295,4,True,Comprehensive
339,N-323A,1175.7,40.3,1.0,0.1225,2,False,None
340,N-323A,837.8,28.7,1.0,0.1185,2,False,None
341,N-323A,3486.2,119.5,1.0,0.1275,2,False,None
342,N-323A,4927.5,168.9,1.0,0.134,2,False,None
343,N-323A,54.5,1.9,1.0,0.1225,2,False,None
344,N-323A,185.5,6.4,1.0,0.1425,2,False,None
345,N-323A,500.0,17.1,1.0,0.133,2,False,None
346,N-325,11358.5,389.4,1.0,0.115,2,False,None
347,N-325,6159.2,211.2,1.0,0.125,2,False,None
348,N-330,2032.6,69.7,1.0,0.13,2,False,None
349,N-330,1557.9,53.4,1.0,0.129,2,False,None
350,N-330,17532.3,601.1,1.0,0.1235,2,False,None
351,N-330,720.1,24.7,1.0,0.111,2,False,None
352,N-330,1903.4,65.3,1.0,0.14,2,False,None
353,N-330,1903.4,65.3,1.0,0.126,2,False,None
354,N-330,4678.5,160.4,1.0,0.1225,2,False,None
355,N-330,36286.8,1244.1,1.0,0.1285,3,False,None
356,N-330,1309.0,44.9,1.0,0.128,2,False,None
357,N-330,347.5,11.9,1.0,0.1255,2,False,None
358,N-330,339.8,11.6,1.0,0.122,2,False,None
359,N-330,1774.2,60.8,1.0,0.116,2,False,None
360,N-330,215.0,7.4,1.0,0.123,2,False,None
361,N-332,29407.0,1008.2,1.0,0.121,3,False,None
