;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201003;Marzo de 2010;18;Ceuta;51;Ceuta;3147;1480;1549;118;0
201003;Marzo de 2010;19;Melilla;52;Melilla;2732;1364;1218;150;0
201004;Abril de 2010;1;Andalucía;4;Almería;44387;26856;14541;1107;1883
201004;Abril de 2010;1;Andalucía;11;Cádiz;80486;44008;26855;4980;4643
201004;Abril de 2010;1;Andalucía;14;Córdoba;52539;26584;14763;1562;9630
201004;Abril de 2010;1;Andalucía;18;Granada;59691;33181;17924;1473;7113
201004;Abril de 2010;1;Andalucía;21;Huelva;34064;19356;9994;902;3812
201004;Abril de 2010;1;Andalucía;23;Jaén;40925;21650;10858;1183;7234
201004;Abril de 2010;1;Andalucía;29;Málaga;104129;65730;30243;3036;5120
201004;Abril de 2010;1;Andalucía;41;Sevilla;127771;71089;37234;4118;15330
201004;Abril de 2010;2;Aragón;22;Huesca;10011;8050;1888;73;0
201004;Abril de 2010;2;Aragón;44;Teruel;6038;4533;1464;41;0
201004;Abril de 2010;2;Aragón;50;Zaragoza;53897;42854;10509;534;0
201004;Abril de 2010;3;Asturias, Principado de;33;Asturias;52250;37790;13700;760;0
201004;Abril de 2010;4;Balears, Illes;7;Balears, Illes;66453;46392;19519;542;0
201004;Abril de 2010;5;Canarias;35;Palmas, Las;76660;47399;26052;3209;0
201004;Abril de 2010;5;Canarias;38;Santa Cruz de Tenerife;67989;43960;22136;1893;0
201004;Abril de 2010;6;Cantabria;39;Cantabria;28495;21959;6114;422;0
201004;Abril de 2010;7;Castilla y León;5;Ávila;8277;5854;2278;145;0
201004;Abril de 2010;7;Castilla y León;9;Burgos;18332;14605;3515;212;0
201004;Abril de 2010;7;Castilla y León;24;León;22804;17017;5418;369;0
201004;Abril de 2010;7;Castilla y León;34;Palencia;6950;5192;1595;163;0
201004;Abril de 2010;7;Castilla y León;37;Salamanca;15376;10797;4123;456;0
201004;Abril de 2010;7;Castilla y León;40;Segovia;6320;5084;1194;42;0
201004;Abril de 2010;7;Castilla y León;42;Soria;3358;2613;711;34;0
201004;Abril de 2010;7;Castilla y León;47;Valladolid;25670;20418;4746;506;0
201004;Abril de 2010;7;Castilla y León;49;Zamora;7645;5524;1952;169;0
201004;Abril de 2010;8;Castilla - La Mancha;2;Albacete;23181;15907;6609;665;0
201004;Abril de 2010;8;Castilla - La Mancha;13;Ciudad Real;27557;18665;8338;554;0
201004;Abril de 2010;8;Castilla - La Mancha;16;Cuenca;10127;7201;2761;165;0
201004;Abril de 2010;8;Castilla - La Mancha;19;Guadalajara;15527;12453;2995;79;0
201004;Abril de 2010;8;Castilla - La Mancha;45;Toledo;42697;32197;9960;540;0
201004;Abril de 2010;9;Cataluña;8;Barcelona;373323;303438;67774;2111;0
201004;Abril de 2010;9;Cataluña;17;Girona;44559;33635;10710;214;0
201004;Abril de 2010;9;Cataluña;25;Lleida;21122;16441;4543;138;0
201004;Abril de 2010;9;Cataluña;43;Tarragona;50495;38257;11816;422;0
201004;Abril de 2010;10;Comunitat Valenciana;3;Alicante/Alacant;113975;77603;32677;3695;0
201004;Abril de 2010;10;Comunitat Valenciana;12;Castellón/Castelló;50138;40113;9803;222;0
201004;Abril de 2010;10;Comunitat Valenciana;46;Valencia/Valéncia;165473;127228;35934;2311;0
201004;Abril de 2010;11;Extremadura;6;Badajoz;42444;21065;14058;2056;5265
201004;Abril de 2010;11;Extremadura;10;Cáceres;24299;13294;6950;561;3494
201004;Abril de 2010;12;Galicia;15;Coruña, A;53747;38761;13795;1191;0
201004;Abril de 2010;12;Galicia;27;Lugo;12969;9241;3431;297;0
201004;Abril de 2010;12;Galicia;32;Ourense;14259;9286;4558;415;0
201004;Abril de 2010;12;Galicia;36;Pontevedra;55163;39977;14069;1117;0
201004;Abril de 2010;13;Madrid, Comunidad de;28;Madrid;344985;284700;57888;2397;0
201004;Abril de 2010;14;Murcia, Región de;30;Murcia;86906;63892;21388;1626;0
201004;Abril de 2010;15;Navarra, Comunidad Foral de;31;Navarra;34935;28310;6407;218;0
201004;Abril de 2010;16;País Vasco;1;Araba/Álava;16913;14238;2620;55;0
201004;Abril de 2010;16;País Vasco;20;Gipuzkoa;35454;29825;5414;215;0
201004;Abril de 2010;16;País Vasco;48;Bizkaia;54072;45027;8701;344;0
201004;Abril de 2010;17;Rioja, La;26;Rioja, La;16734;13319;3267;148;0
201004;Abril de 2010;18;Ceuta;51;Ceuta;3104;1413;1561;130;0
201004;Abril de 2010;19;Melilla;52;Melilla;2720;1364;1202;154;0
201005;Mayo de 2010;1;Andalucía;4;Almería;44095;26511;14537;1150;1897
201005;Mayo de 2010;1;Andalucía;11;Cádiz;76531;41102;25892;5029;4508
201005;Mayo de 2010;1;Andalucía;14;Córdoba;52396;25577;15118;1582;10119
201005;Mayo de 2010;1;Andalucía;18;Granada;58801;32011;18042;1548;7200
201005;Mayo de 2010;1;Andalucía;21;Huelva;32877;18750;9661;923;3543
201005;Mayo de 2010;1;Andalucía;23;Jaén;41767;20891;11526;1222;8128
201005;Mayo de 2010;1;Andalucía;29;Málaga;100338;61909;30000;3148;5281
201005;Mayo de 2010;1;Andalucía;41;Sevilla;124803;68496;36942;4153;15212
201005;Mayo de 2010;2;Aragón;22;Huesca;9971;8070;1826;75;0
201005;Mayo de 2010;2;Aragón;44;Teruel;5913;4425;1446;42;0
201005;Mayo de 2010;2;Aragón;50;Zaragoza;52497;41684;10260;553;0
201005;Mayo de 2010;3;Asturias, Principado de;33;Asturias;50383;36082;13500;801;0
201005;Mayo de 2010;4;Balears, Illes;7;Balears, Illes;54141;39547;14027;567;0
201005;Mayo de 2010;5;Canarias;35;Palmas, Las;76597;47292;25977;3328;0
201005;Mayo de 2010;5;Canarias;38;Santa Cruz de Tenerife;67484;43493;22020;1971;0
201005;Mayo de 2010;6;Cantabria;39;Cantabria;27170;20736;6004;430;0
201005;Mayo de 2010;7;Castilla y León;5;Ávila;7833;5376;2309;148;0
201005;Mayo de 2010;7;Castilla y León;9;Burgos;17857;14135;3500;222;0
201005;Mayo de 2010;7;Castilla y León;24;León;22133;16288;5467;378;0
201005;Mayo de 2010;7;Castilla y León;34;Palencia;6741;4965;1611;165;0
201005;Mayo de 2010;7;Castilla y León;37;Salamanca;14840;10221;4151;468;0
201005;Mayo de 2010;7;Castilla y León;40;Segovia;6194;4942;1206;46;0
201005;Mayo de 2010;7;Castilla y León;42;Soria;3374;2611;729;34;0
201005;Mayo de 2010;7;Castilla y León;47;Valladolid;25034;19744;4772;518;0
201005;Mayo de 2010;7;Castilla y León;49;Zamora;7404;5219;2015;170;0
201005;Mayo de 2010;8;Castilla - La Mancha;2;Albacete;21832;14526;6654;652;0
201005;Mayo de 2010;8;Castilla - La Mancha;13;Ciudad Real;25971;17001;8411;559;0
201005;Mayo de 2010;8;Castilla - La Mancha;16;Cuenca;9452;6489;2797;166;0
201005;Mayo de 2010;8;Castilla - La Mancha;19;Guadalajara;14695;11582;3033;80;0
201005;Mayo de 2010;8;Castilla - La Mancha;45;Toledo;40724;30043;10137;544;0
201005;Mayo de 2010;9;Cataluña;8;Barcelona;360992;291452;67309;2231;0
201005;Mayo de 2010;9;Cataluña;17;Girona;42036;31560;10243;233;0
201005;Mayo de 2010;9;Cataluña;25;Lleida;20515;15819;4544;152;0
201005;Mayo de 2010;9;Cataluña;43;Tarragona;48232;36382;11410;440;0
201005;Mayo de 2010;10;Comunitat Valenciana;3;Alicante/Alacant;108937;72599;32505;3833;0
201005;Mayo de 2010;10;Comunitat Valenciana;12;Castellón/Castelló;49363;39026;10107;230;0
201005;Mayo de 2010;10;Comunitat Valenciana;46;Valencia/Valéncia;161140;122050;36669;2421;0
201005;Mayo de 2010;11;Extremadura;6;Badajoz;39711;18993;13568;2061;5089
201005;Mayo de 2010;11;Extremadura;10;Cáceres;22543;11974;6751;577;3241
201005;Mayo de 2010;12;Galicia;15;Coruña, A;51657;36883;13570;1204;0
201005;Mayo de 2010;12;Galicia;27;Lugo;12464;8764;3409;291;0
201005;Mayo de 2010;12;Galicia;32;Ourense;13845;8926;4506;413;0
201005;Mayo de 2010;12;Galicia;36;Pontevedra;53182;38255;13788;1139;0
201005;Mayo de 2010;13;Madrid, Comunidad de;28;Madrid;335115;274978;57678;2459;0
