node_name_voltage,pss_number,substation_code,electrical_system,autonomous_community,possible_connection_transport,possible_connection_distribution,possible_connection_overall,wscr_nodal_capacity_mw,wscr_nodal_margin_mw,wscr_limiting_criterion,static_generation_nodal_capacity_mw,static_generation_zone,static_generation_nodal_margin_mw,static_generation_zonal_margin_mw,static_generation_limiting_scope,static_storage_nodal_capacity_mw,static_storage_zone,static_storage_nodal_margin_mw,static_storage_zonal_margin_mw,static_storage_limiting_scope
SON PARDO 66,39895,50761,SEB,Islas Baleares,NO,SI,SI,149,149,WSCR_Nudo,51,N/A,51,N/A,Est_Gen_Nudo,67,N/A,67,N/A,Est_Alm_Nudo
SON REUS 220,29895,50580,SEB,Islas Baleares,SI,NO,SI,41,4,WSCR_Nudo,347,E12_SEB,166,65,Est_Gen_Zona,386,E12_SEB,168,68,Est_Alm_Zona
SON REUS 66,39900,50580,SEB,Islas Baleares,SI,NO,SI,69,0,WSCR_Nudo,309,E12_SEB,199,65,Est_Gen_Zona,392,E12_SEB,282,68,Est_Alm_Zona
SOTO DE RIBERA 400,11065,50581,SEPE,Principado de Asturias,SI,NO,SI,1189,1189,WSCR_Nudo,3191,E70_SEPE,2336,2085,Est_Gen_Zona,3550,E70_SEPE,2695,2421,Est_Alm_Zona
SOTO DE RIBERA 220,21195,50581,SEPE,Principado de Asturias,NO,SI,SI,1064,1064,WSCR_Nudo,1679,E70_SEPE,1427,2085,Est_Gen_Nudo,1738,E70_SEPE,1464,2421,Est_Alm_Nudo
SS.REYES 400,14105,50582,SEPE,Comunidad de Madrid,SI,NO,SI,1613,1613,WSCR_Nudo,677,"E130_SEPE, E131_SEPE",677,677,Est_Gen_Nudo/Est_Gen_Zona,764,"E130_SEPE, E131_SEPE",764,764,Est_Alm_Nudo/Est_Alm_Zona
SS.REYES 220,24250,50582,SEPE,Comunidad de Madrid,SI,NO,SI,830,830,WSCR_Nudo,637,"E130_SEPE, E162_SEPE_Bin",637,677,Est_Gen_Nudo,713,"E130_SEPE, E162_SEPE_Bin",713,764,Est_Alm_Nudo
SS.REYES (SS.REYES B) 220,64250,50582,SEPE,Comunidad de Madrid,NO,NO,NO,785,785,WSCR_Nudo,1162,"E131_SEPE, E162_SEPE_Bin",1162,1162,Est_Gen_Nudo/Est_Gen_Zona,1297,"E131_SEPE, E162_SEPE_Bin",1297,1297,Est_Alm_Nudo/Est_Alm_Zona
SUBIRATS 220,23297,50583,SEPE,Cataluña,NO,SI,SI,489,402,WSCR_Nudo,475,N/A,401,N/A,Est_Gen_Nudo,531,N/A,437,N/A,Est_Alm_Nudo
SUIDO 220,21199,50584,SEPE,Galicia,SI,NO,SI,414,240,WSCR_Nudo,762,E328_SEPE,587,618,Est_Gen_Nudo,812,E328_SEPE,637,788,Est_Alm_Nudo
TABARA 400,12077,50762,SEPE,Castilla y León,SI,NO,SI,728,412,WSCR_Nudo,1954,N/A,1639,N/A,Est_Gen_Nudo,2186,N/A,1871,N/A,Est_Alm_Nudo
TABERNAS 400,15021,50585,SEPE,Andalucía,SI,NO,SI,956,141,WSCR_Nudo,1934,E46_SEPE,1118,998,Est_Gen_Zona,2206,E46_SEPE,1391,1295,Est_Alm_Zona
TABERNAS 220,25161,50585,SEPE,Andalucía,SI,NO,SI,400,154,WSCR_Nudo,853,E46_SEPE,608,998,Est_Gen_Nudo,876,E46_SEPE,631,1295,Est_Alm_Nudo
TABESCAN 220,23315,50586,SEPE,Cataluña,SI,NO,SI,88,88,WSCR_Nudo,190,"E209_SEPE, E30_SEPE",190,-553,Est_Gen_Zona,230,"E209_SEPE, E30_SEPE",230,-524,Est_Alm_Zona
TABIELLA 220,21200,50587,SEPE,Principado de Asturias,NO,SI,SI,517,417,WSCR_Nudo,1740,E321_SEPE,1387,1492,Est_Gen_Nudo,1776,E321_SEPE,1387,1492,Est_Alm_Nudo
TACORONTE 66,39355,50588,SEC,Canarias,NO,SI,SI,78,29,WSCR_Nudo,110,N/A,64,N/A,Est_Gen_Nudo,112,N/A,64,N/A,Est_Alm_Nudo
