request_id,request_received_date,request_type,transport_node_name_voltage,transport_position,autonomous_community,requested_access_capacity_mw,publication_month_end_date,contest_node
GENT-AC6-38963-25,2025-03-28,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,AVE ZARAGOZA 220,AVZ220-CSAZ,Aragón,40,,SI
GENT-AC9-38965-25,2025-03-28,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,AVE ZARAGOZA 220,AVZ220-CSAZ,Aragón,40,,SI
GENT-35685-24,2024-12-17,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,AVE ZARAGOZA 220,AVZ220-CSAZ,Aragón,42,,SI
GENT-36384-24,2024-12-31,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,AVE ZARAGOZA 220,AVZ220-CSAZ,Aragón,43,,SI
GENT-36431-24,2025-01-28,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,AVE ZARAGOZA 220,AVZ220-CSAZ,Aragón,43,,SI
GENT-AC6-38380-25,2025-03-11,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,AVE ZARAGOZA 220,AVZ220-CSAZ,Aragón,14.32,,SI
GENT-AC7-38388-25,2025-03-11,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,AVE ZARAGOZA 220,AVZ220-CSAZ,Aragón,15,,SI
GENT-AC22-47079-25,2025-12-09,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,AYORA 400,AYO400-C1AY1,Comunidad Valenciana,72,,NO
GENT-AC6-39063-25,2025-04-04,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,AYORA 400,AYO400-TRP1,Comunidad Valenciana,14.24,,NO
GENT-AC6-39121-25,2025-04-04,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,AYORA 400,AYO400-TRP1,Comunidad Valenciana,14.24,,NO
GENT-AC6-39122-25,2025-04-07,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,AYORA 400,AYO400-TRP1,Comunidad Valenciana,14.24,,NO
AUT-43821-25,2025-10-06,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,BALBOA 400,BAL400-SBA,Extremadura,50,,NO
AUT-41167-25,2025-07-15,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,BALBOA 400,BAL400-SBA,Extremadura,50,,NO
GENT-AC13-41113-25,2025-06-18,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BARCINA 400,BAR400-CRRA1,Castilla y León,45,,SI
GENT-AC12-37990-25,2025-02-25,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BARCINA 400,BAR400-CRRA1,Castilla y León,45,,SI
GENT-AC8-37991-25,2025-02-25,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BARCINA 400,BAR400-CRRA1,Castilla y León,60,,SI
GENT-AC9-37987-25,2025-02-25,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BARCINA 400,BAR400-CRRA1,Castilla y León,45,,SI
GENT-AC11-39163-25,2025-04-07,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BARCINA 400,BAR400-CRRA1,Castilla y León,45,,SI
AUT-30378-24,2024-05-14,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,BARCINA 400,BAR400-CRRA1,Castilla y León,75,,SI
AUT-31087-24,2024-06-05,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,BARCINA 400,BAR400-CRRA1,Castilla y León,62.5,,SI
AUT-30342-24,2024-05-13,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,BARATARIA 400,BARA400-EER1,Castilla-La Mancha,280,,NO
GENT-29935-24,2024-04-26,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BECHI 220,BCH220-EER,Comunidad Valenciana,40,,NO
GENT-26707-23,2023-11-27,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BECHI 220,BCH220-EER,Comunidad Valenciana,50.01,,NO
GENT-27198-23,2023-12-13,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BECHI 220,BCH220-EER,Comunidad Valenciana,69.88,,NO
GENT-AC4-30821-24,2024-05-27,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BEARIZ 400,BEA400-C1PA1,Galicia,49.734999999999999,,NO
GENT-41712-25,2025-07-09,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BEGUES 400,BEG400-C1BE1,Cataluña,49,,NO
GENT-38095-25,2025-03-17,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BEGUES 400,BEG400-C1BE1,Cataluña,49.9,,NO
GENT-38998-25,2025-04-01,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BEGUES 400,BEG400-C1BE1,Cataluña,49,,NO
GENT-37343-25,2025-02-06,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BEGUES 400,BEG400-C1BE1,Cataluña,50,,NO
GENT-35617-24,2024-12-19,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BEGUES 400,BEG400-C1BE1,Cataluña,49,,NO
GENT-36141-24,2024-12-17,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BEGUES 400,BEG400-C1BE1,Cataluña,50,,NO
GENT-36155-24,2024-12-18,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BEGUES 400,BEG400-C1BE1,Cataluña,40,,NO
GENT-36414-24,2025-01-03,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BEGUES 400,BEG400-C1BE1,Cataluña,50,,NO
GENT-36415-24,2025-01-07,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BEGUES 400,BEG400-C1BE1,Cataluña,50,,NO
GENT-36449-25,2025-01-02,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BEGUES 400,BEG400-C1BE1,Cataluña,49,,NO
GENT-36469-25,2025-01-08,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BEGUES 400,BEG400-C1BE1,Cataluña,44,,NO
GENT-35698-24,2024-12-11,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,BEGUES 400,BEG400-C1BE1,Cataluña,49,,NO
