Nombre y tensión del nudo;Nº PSS;Código Subestación;Sistema Eléctrico;Comunidad Autónoma;POSICIONES DE GEN/ALM;;;;;;;CRITERIO DE POTENCIA DE CORTOCIRCUITO (WSCR);;;;;;;;;;CRITERIO ESTÁTICO GENERACIÓN;;;;;;;;;CRITERIO ESTÁTICO ALMACENAMIENTO;;;;;;;;;CRITERIO DINÁMICO;;;;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO OTORGADA;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO EN CURSO DE TRAMITACIÓN;;;;;;;MARGEN DE CAPACIDAD DE ACCESO TOTAL;;;;CRITERIOS LIMITANTES;;;;CAPACIDAD DE ACCESO NO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;CAPACIDAD DE ACCESO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;;;;;;;;;;;;;;;;;NTJ;;;;Capacidad reservada para concurso por resolución SEE/posible concurso/NTJ/autoconsumo RDL 6 2022;;;;Motivo de reserva de capacidad de acceso en el nudo;Normativa específica reguladora de la concesión de la capacidad de acceso
;;;;;A red de transporte;;A red de distribución;;Posibilidad de conexión a la RdT;Posibilidad de conexión a la RdD;Posibilidad de conexión;Capacidad de acceso nodal;Binudos;Afección de CS a seguridad del sistema;Margen nodal;Margen Binudo;Margen Binudo';Margen no ocupado;Margen no ocupado';Criterio limitante;¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal';Limitación interna por configuración del nudo;Margen no ocupado;Margen no ocupado';Ámbito limitante  (D_Nudo/D_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso otorgada MGE;Capacidad de acceso otorgada MGES;Capacidad de acceso otorgada MPE con afección WSCR;Capacidad de acceso otorgada MPE sin afección WSCR;Capacidad de acceso otorgada MPE;Capacidad de acceso otorgada GEN;Capacidad de acceso otorgada ALM;Capacidad de acceso solicitada en curso y pendiente resolver MGE;Capacidad de acceso solicitada en curso y pendiente resolver MGES;Capacidad de acceso solicitada en curso y pendiente resolver MPE con afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE sin afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE;Capacidad de acceso solicitada en curso y pendiente resolver GEN;Capacidad de acceso solicitada en curso y pendiente resolver ALM;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Motivo capacidad no disponible;Generación;;;;Almacenamiento;;;;Capacidad de acceso otorgada MGE (Situación M);Capacidad de acceso otorgada MGE (Situación M-1);Diferencia;Capacidad de acceso otorgada MGE durante M;Capacidad liberada MGE durante M;MW solicitados en nudo en 4 años anteriores [MWins];Condición b) 1.º);MW solicitados en 4 años anteriores  en nudos conectados al nudo [MWinst];Condición b) 2.º);NUDOS que cumplen condiciones para convocatoria de concurso;Fecha límite de reserva por posible resolución concurso;Resolución de concurso;Fecha de resolución;NTJ;Concurso celebrado y capacidad asignada;Capacidad de acceso NTJ para MGES RDL 11/2022;Capacidad de acceso NTJ para MPE RDL 11/2022;Generación;;Almacenamiento;;;
SANT JUST 220;23285;50546;SEPE;Cataluña;;;✓;;NO;SI;SI;59; N/A ;  ;59;N/A;N/A;59;59;WSCR_Nudo;N/A;353;N/A;353;N/A;N/A;353;353;Est_Gen_Nudo;N/A;362;N/A;362;N/A;N/A;362;362;Est_Alm_Nudo;N/A;803; D45_SEPE ;803;803;803;N/A;803;803;D_Nudo/D_Zona;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;353;59;362;59;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;353;59;362;59;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;60; NO ; NO ;;SI;03/08/2022;;;;;353;59;362;59;Concurso;
SANTA AGUEDA 220;29155;50547;SEC;Canarias;;;;;NO;NO;NO;111; N/A ;  ;111;N/A;N/A;111;111;WSCR_Nudo;N/A;251;E05_SEC;251;234;234;234;234;Est_Gen_Zona;NO;309;E05_SEC;309;272;272;272;272;Est_Alm_Zona;NO;34; N/A ;34;N/A;N/A;N/A;34;34;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;34;34;34;D_Nudo;D_Nudo;D_Nudo;D_Nudo;34;34;34;34;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;68; NO ;219; NO ; NO ;;;;;;;;;;;;;
SANTA AGUEDA 66;39155;50547;SEC;Canarias;;✓;;;SI;NO;SI;38; N/A ;  ;1;N/A;N/A;1;1;WSCR_Nudo;N/A;130;E05_SEC, E07_SEC;103;68;68;68;68;Est_Gen_Zona;NO;140;E05_SEC, E07_SEC;103;68;68;68;68;Est_Alm_Zona;NO;37; N/A ;0;N/A;N/A;N/A;0;0;D_Nudo;N/A;37;0;37;0;37;17;20;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;37;37;0;0;0;219; SI ;277; NO ; NO ;;;;;;;;;;;;;
SANTA CATALINA 66;39770;50548;SEB;Islas Baleares;;;✓;;NO;SI;SI;68; N/A ; Superación valor máx Icc y riesgo interacciones ;41;N/A;N/A;41;41;WSCR_Nudo;N/A;138;N/A;119;N/A;N/A;119;119;Est_Gen_Nudo;N/A;147;N/A;119;N/A;N/A;119;119;Est_Alm_Nudo;N/A;219; N/A ;192;N/A;N/A;N/A;192;192;D_Nudo;N/A;27;0;27;0;27;0;27;0;0;0;0;0;0;0;119;41;119;41;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;0;0;119;41;0;0;119;41;27;27;0;0;0;27; NO ;149; NO ; NO ;;;;;;;;;;;;;
SANTA ELVIRA 220;25156;50758;SEPE;Andalucía;;✓;✓;;SI;SI;SI;408; N/A ;  ;34;N/A;N/A;34;34;WSCR_Nudo;N/A;801;E298_SEPE, E42_SEPE;319;-514;-514;0;0;Est_Gen_Zona;NO;805;E298_SEPE, E42_SEPE;319;-480;-480;0;0;Est_Alm_Zona;NO;1.051; N/A ;565;N/A;N/A;N/A;565;565;D_Nudo;N/A;486;7;374;106;479;431;55;20;0;10;10;20;20;0;0;0;0;0;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;486;486;0;0;0;49; NO ;170; NO ; NO ;;SI;29/06/2021;;;;;0;0;0;0;Concurso;
SANTA ENGRACIA 400;12017;50550;SEPE;La Rioja;✓;✓;;;SI;NO;SI;790; N/A ;  ;451;N/A;N/A;451;451;WSCR_Nudo;N/A;2.491;E120_SEPE;1368;1557;1557;1.368;1.368;Est_Gen_Nudo;SI;2.855;E120_SEPE;1731;1646;1646;1.646;1.646;Est_Alm_Zona;SI;2.660; N/A ;1537;N/A;N/A;960;1.537;1.537;D_Nudo;N/A;1.123;785;339;0;339;1.123;0;0;0;0;0;0;0;0;1.368;451;1.537;451;Est_Gen_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;1.368;451;1.537;451;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;1.123;1.123;0;0;0;0; NO ;0; NO ; NO ;;SI;03/08/2022;;;;;1368;451;1537;451;Concurso;
SANTA ENGRACIA 220;22199;50550;SEPE;La Rioja;;✓;;;SI;NO;SI;467; N/A ;  ;320;N/A;N/A;320;320;WSCR_Nudo;N/A;777;E120_SEPE, E307_SEPE;629;394;394;394;394;Est_Gen_Zona;SI;981;E120_SEPE, E307_SEPE;834;573;573;573;573;Est_Alm_Zona;SI;1.072; N/A ;924;N/A;N/A;N/A;924;924;D_Nudo;N/A;147;0;147;0;147;147;0;0;0;0;0;0;0;0;394;320;573;320;Est_Gen_Zona;WSCR_Nudo;Est_Alm_Zona;WSCR_Nudo;394;320;573;320;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;147;147;0;0;0;0; NO ;666; SI ; NO ;;SI;29/06/2021;;;;;394;320;573;320;Concurso;
SANTA EULALIA 66;39650;50551;SEB;Islas Baleares;;;✓;;NO;SI;SI;2; N/A ;  ;2;N/A;N/A;2;2;WSCR_Nudo;N/A;131;E28_SEB;129;223;223;129;129;Est_Gen_Nudo;NO;135;E28_SEB;132;234;234;132;132;Est_Alm_Nudo;NO;221; N/A ;219;N/A;N/A;N/A;219;219;D_Nudo;N/A;2;0;0;2;2;2;0;0;0;0;0;0;0;0;129;2;132;2;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;0;0;129;2;0;0;132;2;2;2;0;0;0;0; NO ;18; NO ; NO ;;;;;;;;;;;;;
SANTA LLOGAIA 400;13023;50552;SEPE;Cataluña;;✓;;;SI;NO;SI;512; N/A ; Riesgo interacciones ;469;N/A;N/A;469;469;WSCR_Nudo;N/A;1.879;N/A;1770;N/A;N/A;1.770;1.770;Est_Gen_Nudo;N/A;2.362;N/A;2253;N/A;N/A;2.253;2.253;Est_Alm_Nudo;N/A;2.463; N/A ;2354;N/A;N/A;821;2.354;2.354;D_Nudo;N/A;109;4;43;62;105;109;0;147;0;30;117;147;147;0;1.770;469;2.253;469;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;1.770;469;2.253;469;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;109;109;0;0;0;0; NO ;133; NO ; NO ;;SI;29/06/2021;;;;;1770;469;2253;469;Concurso;
SANTA MARIA 66;39835;50553;SEB;Islas Baleares;;✓;✓;;SI;SI;SI;109; N/A ;  ;53;N/A;N/A;53;53;WSCR_Nudo;N/A;93;E21_SEB;26;1;1;1;1;Est_Gen_Zona;NO;96;E21_SEB;26;1;1;1;1;Est_Alm_Zona;NO;220; N/A ;150;N/A;N/A;N/A;150;150;D_Nudo;N/A;70;0;56;14;70;18;52;0;0;0;0;0;0;0;1;1;1;1;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;;1;1;1;1;1;1;1;1;70;71;0;0;0;419; SI ;574; SI ; NO ;;;;;;;;;;;;;
SANTA MARIA DE GRADO 400;11024;50554;SEPE;Principado de Asturias;;;✓;;NO;SI;SI;921; N/A ;  ;921;N/A;N/A;921;921;WSCR_Nudo;N/A;2.203;N/A;2203;N/A;N/A;2.203;2.203;Est_Gen_Nudo;N/A;2.665;N/A;2665;N/A;N/A;2.665;2.665;Est_Alm_Nudo;N/A;715; N/A ;715;N/A;N/A;715;715;715;D_Nudo;N/A;0;0;0;0;0;0;0;45;0;45;0;45;0;45;715;715;715;715;D_Nudo;D_Nudo;D_Nudo;D_Nudo;715;715;715;715;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;0;0;0;0;0;45; NO ;33; NO ; NO ;;SI;03/08/2022;;;;;715;715;715;715;Concurso;
SANTA MARINA 220;21155;50555;SEPE;Castilla y León;✓;;✓;;SI;SI;SI;165; N/A ;  ;165;N/A;N/A;165;165;WSCR_Nudo;N/A;126;N/A;50;N/A;N/A;50;50;Est_Gen_Nudo;N/A;155;N/A;80;N/A;N/A;80;80;Est_Alm_Nudo;N/A;1.246; D16_SEPE ;1171;1008;1008;N/A;1.008;1.008;D_Zona;NO;75;33;0;42;42;75;0;0;0;0;0;0;0;0;50;50;80;80;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;50;50;80;80;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;75;75;0;0;0;0; NO ;635; SI ; NO ;;SI;29/06/2021;;;;;50;50;80;80;Concurso;
SANTA POLA 220;24244;50556;SEPE;Comunidad Valenciana;;;✓;;NO;SI;SI;130; N/A ;  ;130;N/A;N/A;130;130;WSCR_Nudo;N/A;931;E259_SEPE, E38_SEPE;926;1253;-124;926;0;Est_Gen_Nudo;SI;935;E259_SEPE, E38_SEPE;930;1378;580;930;580;Est_Alm_Nudo;SI;634; D63_SEPE ;629;629;0;N/A;629;0;D_Nudo/D_Zona;SI;5;0;0;5;5;5;0;0;0;0;0;0;0;0;629;130;629;130;D_Nudo/D_Zona;WSCR_Nudo;D_Nudo/D_Zona;WSCR_Nudo;629;130;629;130;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;5;5;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
SANTA PONSA 220;29925;50557;SEB;Islas Baleares;;;;;NO;NO;NO;11; N/A ; Riesgo interacciones ;11;N/A;N/A;11;11;WSCR_Nudo;N/A;319;E08_SEB, E09_SEB;319;319;319;319;319;Est_Gen_Nudo/Est_Gen_Zona;NO;392;E08_SEB, E09_SEB;392;392;392;392;392;Est_Alm_Nudo/Est_Alm_Zona;NO;0; N/A ;0;N/A;N/A;N/A;0;0;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
SANTA PONSA 132;29935;50557;SEB;Islas Baleares;;;;;NO;NO;NO;6; N/A ; Riesgo interacciones ;6;N/A;N/A;6;6;WSCR_Nudo;N/A;449;E08_SEB;449;449;449;449;449;Est_Gen_Nudo/Est_Gen_Zona;NO;521;E08_SEB;521;521;521;521;521;Est_Alm_Nudo/Est_Alm_Zona;NO;219; N/A ;219;N/A;N/A;N/A;219;219;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;219;6;219;6;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;219;6;219;6;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
SANTA PONSA 66;39945;50557;SEB;Islas Baleares;;;;;NO;NO;NO;6; N/A ; Riesgo interacciones ;6;N/A;N/A;6;6;WSCR_Nudo;N/A;319;E09_SEB;319;319;319;319;319;Est_Gen_Nudo/Est_Gen_Zona;NO;392;E09_SEB;392;392;392;392;392;Est_Alm_Nudo/Est_Alm_Zona;NO;219; N/A ;219;N/A;N/A;N/A;219;219;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;219;6;219;6;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;219;6;219;6;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;110; NO ; NO ;;;;;;;;;;;;;
SANTANYI 66;39890;50558;SEB;Islas Baleares;;;✓;;NO;SI;SI;47; N/A ;  ;16;N/A;N/A;16;16;WSCR_Nudo;N/A;101;N/A;53;N/A;N/A;53;53;Est_Gen_Nudo;N/A;113;N/A;64;N/A;N/A;64;64;Est_Alm_Nudo;N/A;227; N/A ;179;N/A;N/A;N/A;179;179;D_Nudo;N/A;48;0;31;17;48;48;0;0;0;0;0;0;0;0;53;16;64;16;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;0;0;53;16;0;0;64;16;48;48;0;0;0;12; NO ;125; NO ; NO ;;;;;;;;;;;;;
SANTIAGO 220;21180;50559;SEPE;Galicia;✓;;✓;;SI;SI;SI;462; N/A ;  ;435;N/A;N/A;435;435;WSCR_Nudo;N/A;532;E175_SEPE;437;455;0;437;0;Est_Gen_Nudo;SI;596;E175_SEPE;501;462;0;462;0;Est_Alm_Zona;SI;1.269; N/A ;1174;N/A;N/A;N/A;1.174;1.174;D_Nudo;N/A;95;68;27;0;27;95;0;42;0;42;0;42;42;0;437;435;462;435;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Zona;WSCR_Nudo;437;435;462;435;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;95;95;0;0;0;219; NO ;0; NO ; NO ;;;;;;;;;;;;;
SANTIAGO DE COMPOSTELA 220;21175;50560;SEPE;Galicia;;✓;✓;;SI;SI;SI;304; N/A ;  ;262;N/A;N/A;262;262;WSCR_Nudo;N/A;760;N/A;676;N/A;N/A;676;676;Est_Gen_Nudo;N/A;875;N/A;791;N/A;N/A;791;791;Est_Alm_Nudo;N/A;1.300; N/A ;1216;N/A;N/A;N/A;1.216;1.216;D_Nudo;N/A;84;9;42;33;75;84;0;64;0;0;64;64;64;0;676;262;791;262;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;676;262;791;262;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;84;84;0;0;0;85; NO ;712; SI ; NO ;;SI;03/08/2022;;;;;676;262;791;262;Concurso;
SANTIPONCE 220;25155;50561;SEPE;Andalucía;;✓;✓;;SI;SI;SI;766; N/A ;  ;604;N/A;N/A;604;604;WSCR_Nudo;N/A;1.361;N/A;826;N/A;N/A;826;826;Est_Gen_Nudo;N/A;1.437;N/A;901;N/A;N/A;901;901;Est_Alm_Nudo;N/A;848; N/A ;313;N/A;N/A;N/A;313;313;D_Nudo;N/A;535;12;162;361;523;535;0;27;0;27;0;27;27;0;313;313;313;313;D_Nudo;D_Nudo;D_Nudo;D_Nudo;313;313;313;313;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;535;535;0;0;0;45; NO ;373; NO ; NO ;;SI;03/08/2022;;;;;313;313;313;313;Concurso;
SANTIZ 220;22188;50562;SEPE;Castilla y León;✓;;;;SI;NO;SI;315; N/A ;  ;1;N/A;N/A;1;1;WSCR_Nudo;N/A;550;E179_SEPE;146;512;0;146;0;Est_Gen_Nudo;SI;614;E179_SEPE;210;592;0;210;0;Est_Alm_Nudo;SI;1.229; N/A ;826;N/A;N/A;N/A;826;826;D_Nudo;N/A;404;0;314;89;404;404;0;0;0;0;0;0;0;0;146;1;210;1;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;146;1;210;1;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;404;404;0;0;0;766; SI ;36; NO ; NO ;;;;;;;;;;;;;
SANTURCE 400;12070;50563;SEPE;País Vasco;;;;;NO;NO;NO;1.014; N/A ;  ;1.014;N/A;N/A;1.014;1.014;WSCR_Nudo;N/A;2.520;E145_SEPE;2520;2115;2115;2.115;2.115;Est_Gen_Zona;NO;2.721;E145_SEPE;2721;2266;2266;2.266;2.266;Est_Alm_Zona;NO;796; N/A ;796;N/A;N/A;N/A;796;796;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;796;796;796;796;D_Nudo;D_Nudo;D_Nudo;D_Nudo;796;796;796;796;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;2.169; SI ; NO ;;;;;;;;;;;;;
SANTURCE 220;22190;50563;SEPE;País Vasco;✓;;✓;;SI;SI;SI;701; N/A ;  ;501;N/A;N/A;501;501;WSCR_Nudo;N/A;587;E145_SEPE;50;2115;2115;50;50;Est_Gen_Nudo;NO;658;E145_SEPE;50;2266;2266;50;50;Est_Alm_Nudo;NO;976; N/A ;368;N/A;N/A;N/A;368;368;D_Nudo;N/A;608;409;200;0;200;509;100;75;0;75;0;75;0;75;50;50;50;50;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;;50;50;50;50;50;50;50;50;608;608;0;0;0;633; SI ;523; SI ; NO ;;;;;;;;;;;;;
SAUCELLE 220;22195;50564;SEPE;Castilla y León;✓;;✓;✓;SI;SI;SI;450; N/A ;  ;448;N/A;N/A;448;448;WSCR_Nudo;N/A;423;N/A;156;N/A;N/A;156;156;Est_Gen_Nudo;N/A;514;N/A;247;N/A;N/A;247;247;Est_Alm_Nudo;N/A;732; N/A ;465;N/A;N/A;N/A;465;465;D_Nudo;N/A;267;250;2;15;17;267;0;0;0;0;0;0;0;0;156;156;247;247;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;156;156;247;247;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;267;267;0;0;0;13; NO ;0; NO ; NO ;;SI;29/06/2021;;;;;156;156;247;247;Concurso;
SAX 400;14125;50565;SEPE;Comunidad Valenciana;;✓;;;SI;NO;SI;1.018; N/A ;  ;517;N/A;N/A;517;517;WSCR_Nudo;N/A;1.682;N/A;1181;N/A;N/A;1.181;1.181;Est_Gen_Nudo;N/A;2.311;N/A;1810;N/A;N/A;1.810;1.810;Est_Alm_Nudo;N/A;63; N/A ;-438;N/A;N/A;63;0;0;D_Nudo;N/A;501;0;501;0;501;501;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;501;513;-12;0;12;0; NO ;0; NO ; NO ;;SI;29/06/2021;;;;;0;0;0;0;Concurso;
SEGORBE 220;24245;50566;SEPE;Comunidad Valenciana;✓;;✓;;SI;SI;SI;200; N/A ;  ;0;N/A;N/A;0;0;WSCR_Nudo;N/A;627;E183_SEPE, E35_SEPE;427;74;-74;74;0;Est_Gen_Zona;SI;754;E183_SEPE, E35_SEPE;553;74;-74;74;0;Est_Alm_Zona;SI;1.076; D65_SEPE ;876;704;704;N/A;704;704;D_Zona;NO;200;0;200;0;200;200;0;408;0;0;408;408;302;105;74;0;74;0;Est_Gen_Zona;WSCR_Nudo;Est_Alm_Zona;WSCR_Nudo;74;0;74;0;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;200;200;0;0;0;726; SI ;1.420; SI ; NO ;;;;;;;;;;;;;
SEGOVIA 400;14103;50567;SEPE;Castilla y León;;✓;;;SI;NO;SI;972; N/A ;  ;448;N/A;N/A;448;448;WSCR_Nudo;N/A;2.361;N/A;1837;N/A;N/A;1.837;1.837;Est_Gen_Nudo;N/A;2.499;N/A;1975;N/A;N/A;1.975;1.975;Est_Alm_Nudo;N/A;907; N/A ;383;N/A;N/A;907;383;383;D_Nudo;N/A;524;0;524;0;524;524;0;0;0;0;0;0;0;0;383;383;383;383;D_Nudo;D_Nudo;D_Nudo;D_Nudo;383;383;383;383;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;524;524;0;0;0;0; NO ;0; NO ; NO ;;SI;29/06/2021;;;;;383;383;383;383;Concurso;
SENTMENAT 400;13060;50568;SEPE;Cataluña;;;;;NO;NO;NO;212; N/A ;  ;212;N/A;N/A;212;212;WSCR_Nudo;N/A;2.296;E91_SEPE;2296;2288;2288;2.288;2.288;Est_Gen_Zona;NO;2.896;E91_SEPE;2896;2822;2822;2.822;2.822;Est_Alm_Zona;NO;748; D23_SEPE ;748;-46;-46;N/A;0;0;D_Zona;SI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D_Zona;D_Zona;D_Zona;D_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;1.474; SI ; NO ;;;;;;;;;;;;;
SENTMENAT 220;23295;50568;SEPE;Cataluña;;;✓;;NO;SI;SI;840; N/A ;  ;780;N/A;N/A;780;780;WSCR_Nudo;N/A;1.480;E91_SEPE;1472;2288;2288;1.472;1.472;Est_Gen_Nudo;NO;1.806;E91_SEPE;1732;2822;2822;1.732;1.732;Est_Alm_Nudo;NO;805; N/A ;731;N/A;N/A;N/A;731;731;D_Nudo;N/A;74;0;60;15;74;8;67;0;0;0;0;0;0;0;731;731;731;731;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;731;731;0;0;731;731;74;67;7;0;0;191; NO ;479; NO ; NO ;;;;;;;;;;;;;
SERNA 400;12060;50569;SEPE;Comunidad Foral de Navarra;✓;✓;;;SI;NO;SI;1.473; N/A ;  ;644;N/A;N/A;644;644;WSCR_Nudo;N/A;3.253;E138_SEPE;2424;2293;2293;2.293;2.293;Est_Gen_Zona;SI;4.132;E138_SEPE;3303;2959;2959;2.959;2.959;Est_Alm_Zona;SI;1.563; N/A ;733;N/A;N/A;781;733;733;D_Nudo;N/A;830;0;830;0;830;830;0;0;0;0;0;0;0;0;733;644;733;644;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;733;644;733;644;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;830;830;0;0;0;0; NO ;440; NO ; NO ;;SI;03/08/2022;;;;;733;644;733;644;Concurso;
SERNA 220;22100;50569;SEPE;Comunidad Foral de Navarra;✓;;✓;✓;SI;SI;SI;539; N/A ; Superación valor máx Icc ;219;N/A;N/A;219;219;WSCR_Nudo;N/A;1.409;E138_SEPE;1065;2293;2293;1.065;1.065;Est_Gen_Nudo;SI;1.627;E138_SEPE;1283;2959;2959;1.283;1.283;Est_Alm_Nudo;SI;1.101; N/A ;758;N/A;N/A;N/A;758;758;D_Nudo;N/A;343;12;320;11;331;343;0;6;0;0;6;6;6;0;758;219;758;219;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;758;219;758;219;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;343;343;0;0;0;0; NO ;2.064; SI ; NO ;;SI;29/06/2021;;;;;758;219;758;219;Concurso;
SES VELES 66;39891;50570;SEB;Islas Baleares;;;✓;;NO;SI;SI;42; N/A ; Riesgo interacciones ;6;N/A;N/A;6;6;WSCR_Nudo;N/A;193;N/A;148;N/A;N/A;148;148;Est_Gen_Nudo;N/A;199;N/A;154;N/A;N/A;154;154;Est_Alm_Nudo;N/A;204; N/A ;159;N/A;N/A;N/A;159;159;D_Nudo;N/A;45;0;35;9;45;45;0;0;0;0;0;0;0;0;148;6;154;6;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;0;0;148;6;0;0;154;6;45;45;0;0;0;9; NO ;111; NO ; NO ;;;;;;;;;;;;;
SESUE 220;23080;50571;SEPE;Aragón;✓;;;;SI;NO;SI;352; N/A ;  ;192;N/A;N/A;192;192;WSCR_Nudo;N/A;301;E271_SEPE;112;1046;1046;112;112;Est_Gen_Nudo;SI;308;E271_SEPE;112;1046;1046;112;112;Est_Alm_Nudo;SI;1.186; D31_SEPE ;990;910;910;N/A;910;910;D_Zona;SI;196;36;160;0;160;36;160;0;0;0;0;0;0;0;112;112;112;112;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;112;112;112;112;Posible concurso. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;196;296;-100;0;100;585; SI ;420; NO ; SI ;02/05/2026;;;;;;;112;112;112;112;Posible concurso;
