Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2005M09	6.721
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2005M08	8.500
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2005M07	7.410
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2005M06	6.043
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2005M05	5.872
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2005M04	4.518
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2005M03	4.239
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2005M02	3.677
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2005M01	3.163
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2004M12	2.575
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2004M11	3.307
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2004M10	5.055
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2004M09	7.031
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2004M08	7.594
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2004M07	7.475
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2004M06	6.336
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2004M05	5.674
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2004M04	5.180
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2004M03	3.692
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2004M02	3.265
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2004M01	3.163
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2003M12	3.150
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2003M11	3.942
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2003M10	5.134
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2003M09	5.650
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2003M08	7.321
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2003M07	6.615
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2003M06	5.561
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2003M05	5.779
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2003M04	4.034
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2003M03	3.635
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2003M02	2.669
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2003M01	3.045
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2002M12	2.056
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2002M11	3.825
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2002M10	5.393
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2002M09	6.746
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2002M08	8.524
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2002M07	7.576
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2002M06	5.889
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2002M05	6.268
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2002M04	5.306
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2002M03	3.647
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2002M02	2.666
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2002M01	2.949
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2001M12	2.608
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2001M11	3.715
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2001M10	4.983
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2001M09	7.416
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2001M08	7.744
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2001M07	6.589
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2001M06	5.180
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2001M05	4.433
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2001M04	4.262
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2001M03	3.877
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2001M02	2.651
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2001M01	2.214
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2000M12	2.838
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2000M11	3.266
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2000M10	6.148
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2000M09	7.532
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2000M08	8.633
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2000M07	8.133
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2000M06	5.619
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2000M05	5.661
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2000M04	5.479
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2000M03	4.429
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2000M02	2.257
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2000M01	2.992
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	1999M12	2.035
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	1999M11	3.490
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	1999M10	4.529
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	1999M09	6.431
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	1999M08	9.089
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	1999M07	6.774
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	1999M06	4.964
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	1999M05	5.881
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	1999M04	4.371
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	1999M03	3.291
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	1999M02	2.735
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	1999M01	2.207
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2026M01	65.335
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M12	78.059
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M11	82.196
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M10	102.663
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M09	105.735
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M08	122.624
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M07	111.447
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M06	99.114
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M05	100.448
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M04	90.943
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M03	81.202
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M02	59.687
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M01	64.033
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2024M12	78.903
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2024M11	79.656
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2024M10	89.515
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2024M09	98.183
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2024M08	114.600
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2024M07	102.086
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2024M06	84.419
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2024M05	86.138
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2024M04	75.158
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2024M03	82.303
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2024M02	59.508
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2024M01	57.608
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2023M12	68.216
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2023M11	72.766
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2023M10	88.765
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2023M09	97.783
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2023M08	116.387
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2023M07	97.581
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2023M06	76.670
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2023M05	72.411
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2023M04	73.201
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2023M03	63.182
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2023M02	54.743
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2023M01	50.186
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2022M12	57.603
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2022M11	60.198
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2022M10	77.130
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2022M09	77.425
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2022M08	101.297
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2022M07	90.083
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2022M06	73.155
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2022M05	70.577
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2022M04	66.587
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2022M03	58.421
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2022M02	44.740
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2022M01	35.783
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2021M12	51.574
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2021M11	56.484
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2021M10	73.305
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2021M09	69.669
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2021M08	98.198
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2021M07	69.394
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2021M06	46.650
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2021M05	32.455
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2021M04	28.800
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2021M03	27.656
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2021M02	16.621
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2021M01	17.261
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2020M12	17.415
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2020M11	18.382
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2020M10	34.614
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2020M09	35.337
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2020M08	51.197
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2020M07	39.351
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2020M06	16.339
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2020M05	4.614
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2020M04	0
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2020M03	22.743
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2020M02	47.071
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2020M01	43.502
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2019M12	54.659
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2019M11	57.797
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2019M10	68.913
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2019M09	74.939
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2019M08	97.224
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2019M07	80.760
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2019M06	69.965
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2019M05	70.037
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2019M04	65.893
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2019M03	57.122
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2019M02	42.402
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2019M01	42.446
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2018M12	55.485
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2018M11	58.976
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2018M10	74.368
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2018M09	77.888
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2018M08	102.494
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2018M07	81.686
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2018M06	69.476
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2018M05	70.738
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2018M04	62.129
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2018M03	57.269
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2018M02	39.189
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2018M01	41.962
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2017M12	53.947
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2017M11	56.615
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2017M10	69.662
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2017M09	75.206
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2017M08	101.382
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2017M07	85.341
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2017M06	65.743
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2017M05	65.104
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2017M04	69.370
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2017M03	50.774
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2017M02	47.294
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2017M01	38.412
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2016M12	49.684
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2016M11	46.281
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2016M10	70.060
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2016M09	72.949
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2016M08	98.688
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2016M07	82.949
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2016M06	58.442
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2016M05	57.342
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2016M04	43.961
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2016M03	55.413
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2016M02	37.207
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2016M01	37.704
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2015M12	57.936
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2015M11	49.673
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2015M10	62.198
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2015M09	64.886
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2015M08	93.151
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2015M07	70.566
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2015M06	53.176
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2015M05	57.698
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2015M04	46.775
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2015M03	45.124
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2015M02	34.008
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2015M01	34.002
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2014M12	45.756
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2014M11	48.465
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2014M10	54.411
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2014M09	61.337
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2014M08	82.636
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2014M07	64.445
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2014M06	50.545
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2014M05	51.214
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2014M04	43.503
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2014M03	36.091
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2014M02	29.549
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2014M01	26.642
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2013M12	37.974
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2013M11	40.705
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2013M10	45.832
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2013M09	58.849
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2013M08	80.417
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2013M07	67.896
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2013M06	49.060
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2013M05	50.862
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2013M04	41.414
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2013M03	48.516
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2013M02	37.858
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2013M01	30.260
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2012M12	39.704
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2012M11	46.217
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2012M10	52.760
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2012M09	58.196
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2012M08	85.340
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2012M07	72.780
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2012M06	58.044
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2012M05	55.391
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2012M04	56.352
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2012M03	48.970
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2012M02	41.569
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2012M01	35.555
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2011M12	45.588
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2011M11	46.375
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2011M10	61.524
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2011M09	66.725
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2011M08	88.575
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2011M07	72.852
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2011M06	58.733
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2011M05	52.214
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2011M04	53.994
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2011M03	46.519
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2011M02	40.955
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2011M01	34.122
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2010M12	41.973
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2010M11	45.483
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2010M10	58.621
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2010M09	60.198
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2010M08	81.331
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2010M07	67.746
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2010M06	50.085
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2010M05	46.907
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2010M04	47.117
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2010M03	40.739
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2010M02	30.601
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2010M01	29.035
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2009M12	35.211
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2009M11	41.557
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2009M10	47.897
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2009M09	46.816
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2009M08	60.054
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2009M07	58.251
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2009M06	44.364
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2009M05	52.778
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2009M04	39.265
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2009M03	37.674
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2009M02	28.859
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2009M01	26.786
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2008M12	32.385
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2008M11	36.311
