establecimiento,tipo,categoria,nombre,municipio,web,telefono,wikidata,imagen municipio,poblacion municipio,longitud,latitud
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,HOSPITAL DEL CAMINANTE II,Puebla de Lillo,WWW.HOSPITALDELCAMINANTE.COM,646232367,http://www.wikidata.org/entity/Q1615418,https://www.wikidata.org/wiki/Q1615418#/media/File:VistaLillo.JPG,666,-5.274306999999999,43.00792399905894
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,BARBADIEL,Quintana del Castillo,,650425528,http://www.wikidata.org/entity/Q137729,"https://www.wikidata.org/wiki/Q137729#/media/File:24397_Quintana_del_Castillo,_León,_Spain_-_panoramio.jpg",709,-5.923664999999999,42.582588299059985
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,MIRADOR DE BABIA II,San Emiliano,WWW.MIRADORDEBABIA.COM,655867674,http://www.wikidata.org/entity/Q141211,https://www.wikidata.org/wiki/Q141211#/media/File:La_Iglesia_de_San_Emiliano.jpg,626,-6.0007506,42.971710599059016
Alojam. Turismo Rural,Hotel Rural,2 Estrellas,LA CASONA DE BABIA,San Emiliano,WWW.CASONADEBABIA.COM,987594014,http://www.wikidata.org/entity/Q141211,https://www.wikidata.org/wiki/Q141211#/media/File:La_Iglesia_de_San_Emiliano.jpg,626,-5.9914480999999995,43.011808499058915
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,MIRADOR DE BABIA I,San Emiliano,WWW.MIRADORDEBABIA.COM,655867674,http://www.wikidata.org/entity/Q141211,https://www.wikidata.org/wiki/Q141211#/media/File:La_Iglesia_de_San_Emiliano.jpg,626,-6.0007506,42.971710599059016
Alojam. Turismo Rural,Hotel Rural,2 Estrellas,LA POSADA DE GASPAR,Santa Colomba de Somoza,www.laposadadegaspar.com,987631629,http://www.wikidata.org/entity/Q141080,"https://www.wikidata.org/wiki/Q141080#/media/File:Calle_Mayor,_Santa_Colomba_de_Somoza.jpg",529,-6.285758,42.48244299906027
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,CASA COLOMBA,Santa Colomba de Somoza,www.casacolomba.com,606381337,http://www.wikidata.org/entity/Q141080,"https://www.wikidata.org/wiki/Q141080#/media/File:Calle_Mayor,_Santa_Colomba_de_Somoza.jpg",529,-6.246404000000001,42.44468899906037
Alojam. Turismo Rural,Hotel Rural,2 Estrellas,EL MOLINERO DE SANTA COLOMBA DE SOMOZA,Santa Colomba de Somoza,,987631591,http://www.wikidata.org/entity/Q141080,"https://www.wikidata.org/wiki/Q141080#/media/File:Calle_Mayor,_Santa_Colomba_de_Somoza.jpg",529,-6.242626,42.44326199906037
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,LA CASA DEL ABUELO JULIAN,Toreno,WWW.CASASRURALESENELBIERZO.COM,987533612,http://www.wikidata.org/entity/Q44913,https://www.wikidata.org/wiki/Q44913#/media/File:Toreno_nevado.jpg,2980,-6.459898699999999,42.71960579905962
Alojam. Turismo Rural,Casa Rural,2 Estrellas,CASINA DE SARA,Toreno,,652129648,http://www.wikidata.org/entity/Q44913,https://www.wikidata.org/wiki/Q44913#/media/File:Toreno_nevado.jpg,2980,-6.530390399999999,42.75590649905954
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,CASA ROSALIA,Trabadelo,,696978652,http://www.wikidata.org/entity/Q842698,https://www.wikidata.org/wiki/Q842698#/media/File:Pereje.jpg,338,-6.8813079,42.64939949905981
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,CADEVILLA,Truchas,,987664722,http://www.wikidata.org/entity/Q1774781,https://www.wikidata.org/wiki/Q1774781#/media/File:Truchas_Paisaje_20110424.jpg,418,-6.4627541000000015,42.28340589906085
Alojam. Turismo Rural,Hotel Rural,2 Estrellas,LOS ARGÜELLOS,Valdelugueros,,681189671,http://www.wikidata.org/entity/Q1635276,https://www.wikidata.org/wiki/Q1635276#/media/File:Luguerospueblo.jpg,501,-5.413597900000001,42.972255499059024
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,LA MURIA,Valderrueda,,648060298,http://www.wikidata.org/entity/Q1615406,https://www.wikidata.org/wiki/Q1615406#/media/File:Big_12611163_0_500-375.jpg,820,-4.9922991,42.8091776990594
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,MAGDALENA I,Vega de Espinareda,,987568806,http://www.wikidata.org/entity/Q1605960,https://www.wikidata.org/wiki/Q1605960#/media/File:Monasterio_de_San_Andrés_de_Vega_de_Espinareda_(422509303).jpg,2018,-6.6512528,42.71254409905965
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,MAGDALENA II,Vega de Espinareda,,987568806,http://www.wikidata.org/entity/Q1605960,https://www.wikidata.org/wiki/Q1605960#/media/File:Monasterio_de_San_Andrés_de_Vega_de_Espinareda_(422509303).jpg,2018,-6.6512528,42.71254409905965
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,CASA ANTONIO,Vega de Espinareda,,987568588,http://www.wikidata.org/entity/Q1605960,https://www.wikidata.org/wiki/Q1605960#/media/File:Monasterio_de_San_Andrés_de_Vega_de_Espinareda_(422509303).jpg,2018,-6.713259399999999,42.73138719905959
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,LA ABUELA,Vega de Espinareda,www.casarurallaabuela.com,689912546,http://www.wikidata.org/entity/Q1605960,https://www.wikidata.org/wiki/Q1605960#/media/File:Monasterio_de_San_Andrés_de_Vega_de_Espinareda_(422509303).jpg,2018,-6.713259399999999,42.73138719905959
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,EL PAJAR DE INES,Vega de Espinareda,,987568408,http://www.wikidata.org/entity/Q1605960,https://www.wikidata.org/wiki/Q1605960#/media/File:Monasterio_de_San_Andrés_de_Vega_de_Espinareda_(422509303).jpg,2018,-6.7134952000000006,42.73117939905959
Alojam. Turismo Rural,Hotel Rural,2 Estrellas,EL PARAISO DEL BIERZO,Vega de Valcarce,www.paraisodelbierzo.com,987684137,http://www.wikidata.org/entity/Q918084,https://www.wikidata.org/wiki/Q918084#/media/File:Vegadevalcarce.jpg,579,-6.975336999999999,42.67247399905975
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,CASA CALECHA,Villablino,www.casacalecha.com,987490110,http://www.wikidata.org/entity/Q1605938,https://www.wikidata.org/wiki/Q1605938#/media/File:San_Miguel_de_Laciana_y_Villablino.jpg,8086,-6.371289,42.952839999059066
Alojam. Turismo Rural,Hotel Rural,2 Estrellas,MONTEALEGRE,Villagatón,WWW-CTRMONTEALEGRE.NET,987691823,http://www.wikidata.org/entity/Q1622304,https://www.wikidata.org/wiki/Q1622304#/media/File:Villagatón_(León).JPG,650,-6.1873450000000005,42.63218989905986
Alojam. Turismo Rural,Casa Rural,2 Estrellas,LOS LLÁGANOS,Villaturiel,www.casarural.losllaganos.com,656412405,http://www.wikidata.org/entity/Q1607183,https://www.wikidata.org/wiki/Q1607183#/media/File:Roderos.jpg,1878,-5.48626,42.51639199906017
