,dia_semana,dia_año,trimestre,mes,año,prediccion
2023-10-09,0,282,4,10,2023,16579417.0
2023-10-10,1,283,4,10,2023,16716790.0
2023-10-11,2,284,4,10,2023,14705537.0
2023-10-12,3,285,4,10,2023,15911893.0
2023-10-13,4,286,4,10,2023,16556378.0
2023-10-14,5,287,4,10,2023,14568274.0
2023-10-15,6,288,4,10,2023,13866211.0
2023-10-16,0,289,4,10,2023,17328784.0
2023-10-17,1,290,4,10,2023,17588306.0
2023-10-18,2,291,4,10,2023,17380818.0
2023-10-19,3,292,4,10,2023,17463156.0
2023-10-20,4,293,4,10,2023,17052956.0
2023-10-21,5,294,4,10,2023,14705685.0
2023-10-22,6,295,4,10,2023,14003622.0
2023-10-23,0,296,4,10,2023,16991068.0
2023-10-24,1,297,4,10,2023,17308792.0
2023-10-25,2,298,4,10,2023,17281536.0
2023-10-26,3,299,4,10,2023,17212740.0
2023-10-27,4,300,4,10,2023,16589399.0
2023-10-28,5,301,4,10,2023,14286744.0
2023-10-29,6,302,4,10,2023,13378579.0
2023-10-30,0,303,4,10,2023,16257037.0
2023-10-31,1,304,4,10,2023,15282271.0
2023-11-01,2,305,4,11,2023,14857619.0
2023-11-02,3,306,4,11,2023,16151969.0
2023-11-03,4,307,4,11,2023,15939727.0
2023-11-04,5,308,4,11,2023,13951176.0
2023-11-05,6,309,4,11,2023,12995003.0
2023-11-06,0,310,4,11,2023,15839093.0
2023-11-07,1,311,4,11,2023,16135656.0
2023-11-08,2,312,4,11,2023,16096168.0
2023-11-09,3,313,4,11,2023,16038712.0
2023-11-10,4,314,4,11,2023,15858625.0
2023-11-11,5,315,4,11,2023,13900490.0
2023-11-12,6,316,4,11,2023,13024713.0
2023-11-13,0,317,4,11,2023,15793994.0
2023-11-14,1,318,4,11,2023,16058774.0
2023-11-15,2,319,4,11,2023,16001407.0
2023-11-16,3,320,4,11,2023,15937604.0
2023-11-17,4,321,4,11,2023,15851174.0
2023-11-18,5,322,4,11,2023,13859149.0
2023-11-19,6,323,4,11,2023,13195488.0
2023-11-20,0,324,4,11,2023,16412163.0
2023-11-21,1,325,4,11,2023,16554580.0
2023-11-22,2,326,4,11,2023,16772669.0
2023-11-23,3,327,4,11,2023,16643756.0
2023-11-24,4,328,4,11,2023,16564669.0
2023-11-25,5,329,4,11,2023,13967780.0
2023-11-26,6,330,4,11,2023,13676636.0
2023-11-27,0,331,4,11,2023,17070486.0
2023-11-28,1,332,4,11,2023,17005262.0
2023-11-29,2,333,4,11,2023,17176382.0
2023-11-30,3,334,4,11,2023,17166312.0
2023-12-01,4,335,4,12,2023,17949738.0
2023-12-02,5,336,4,12,2023,15787424.0
2023-12-03,6,337,4,12,2023,15467882.0
2023-12-04,0,338,4,12,2023,15134628.0
2023-12-05,1,339,4,12,2023,16061451.0
2023-12-06,2,340,4,12,2023,15662451.0
2023-12-07,3,341,4,12,2023,15215766.0
2023-12-08,4,342,4,12,2023,15439478.0
2023-12-09,5,343,4,12,2023,14295555.0
2023-12-10,6,344,4,12,2023,14932194.0
2023-12-11,0,345,4,12,2023,18813054.0
2023-12-12,1,346,4,12,2023,19254608.0
2023-12-13,2,347,4,12,2023,18592918.0
2023-12-14,3,348,4,12,2023,17580202.0
2023-12-15,4,349,4,12,2023,17271258.0
2023-12-16,5,350,4,12,2023,15248468.0
2023-12-17,6,351,4,12,2023,14703446.0
2023-12-18,0,352,4,12,2023,17443484.0
2023-12-19,1,353,4,12,2023,17463274.0
2023-12-20,2,354,4,12,2023,17285590.0
2023-12-21,3,355,4,12,2023,17219478.0
2023-12-22,4,356,4,12,2023,16467299.0
2023-12-23,5,357,4,12,2023,13704963.0
2023-12-24,6,358,4,12,2023,12603770.0
2023-12-25,0,359,4,12,2023,15523834.0
2023-12-26,1,360,4,12,2023,14214578.0
2023-12-27,2,361,4,12,2023,15683182.0
2023-12-28,3,362,4,12,2023,15790757.0
2023-12-29,4,363,4,12,2023,15569533.0
2023-12-30,5,364,4,12,2023,13606902.0
