;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201904;Abril de 2019;8;Castilla - La Mancha;2;Albacete;12612,77;7060,86;4744,01;806,52;0
201904;Abril de 2019;8;Castilla - La Mancha;13;Ciudad Real;16643,81;8572,42;6774,34;1295,47;0
201904;Abril de 2019;8;Castilla - La Mancha;16;Cuenca;5210,92;3144,49;1776,03;290,26;0
201904;Abril de 2019;8;Castilla - La Mancha;19;Guadalajara;8520,99;6099,41;2172,75;248,4;0
201904;Abril de 2019;8;Castilla - La Mancha;45;Toledo;22177,71;12418,96;8413,76;1344,43;0
201904;Abril de 2019;9;Cataluña;8;Barcelona;166752,02;125304,67;37382,14;4061,08;0
201904;Abril de 2019;9;Cataluña;17;Girona;21621,23;15433,24;5553,23;634,33;0
201904;Abril de 2019;9;Cataluña;25;Lleida;11565,26;8383,44;2812,05;368,91;0
201904;Abril de 2019;9;Cataluña;43;Tarragona;24865,9;17019,77;7031,38;813,79;0
201904;Abril de 2019;10;Comunitat Valenciana;3;Alicante/Alacant;58678,68;35072,14;20217,92;3385,16;0
201904;Abril de 2019;10;Comunitat Valenciana;12;Castellón/Castelló;18667,07;11810,32;6099,68;755,54;0
201904;Abril de 2019;10;Comunitat Valenciana;46;Valencia/Valéncia;77207,87;48418,21;24499,06;4287,19;0
201904;Abril de 2019;11;Extremadura;6;Badajoz;29903,79;11831,03;12486,92;1564,91;4019,07
201904;Abril de 2019;11;Extremadura;10;Cáceres;17323,56;6832,85;7308,34;734,39;2446,1
201904;Abril de 2019;12;Galicia;15;Coruña, A;30349,41;20181,14;8846,41;1320,71;0
201904;Abril de 2019;12;Galicia;27;Lugo;7338,73;4527,61;2499,5;311,62;0
201904;Abril de 2019;12;Galicia;32;Ourense;8147,74;4700,82;3096,03;350,89;0
201904;Abril de 2019;12;Galicia;36;Pontevedra;29963,16;19275,36;9558,9;1126,89;0
201904;Abril de 2019;13;Madrid, Comunidad de;28;Madrid;179418,17;139473,72;34929,2;5008,62;0
201904;Abril de 2019;14;Murcia, Región de;30;Murcia;44076,36;29755,79;11847,04;2468,32;0
201904;Abril de 2019;15;Navarra, Comunidad Foral de;31;Navarra;16501,48;12647,47;3556,91;296,96;0
201904;Abril de 2019;16;País Vasco;1;Araba/Álava;8304,06;6630,65;1548,27;125,14;0
201904;Abril de 2019;16;País Vasco;20;Gipuzkoa;15780,05;12618,14;2928,23;233,68;0
201904;Abril de 2019;16;País Vasco;48;Bizkaia;27515,78;20974,88;6015,36;525,54;0
201904;Abril de 2019;17;Rioja, La;26;Rioja, La;8178,71;6021,01;1965,15;192,55;0
201904;Abril de 2019;18;Ceuta;51;Ceuta;2281,09;1002,66;1002,88;275,36;0
201904;Abril de 2019;19;Melilla;52;Melilla;1811,85;892,53;733,94;184,98;0
201904;Abril de 2019;;TOTAL;;;1468852,65;924890,32;433564,03;62408,99;47901,41
201905;Mayo de 2019;1;Andalucía;4;Almería;27768,57;16729,72;8565,16;1353,08;1119,18
201905;Mayo de 2019;1;Andalucía;11;Cádiz;47496,83;22580,76;18154,39;3446,15;3312,91
201905;Mayo de 2019;1;Andalucía;14;Córdoba;36313,77;12904,61;13983,52;1629,89;7791,45
201905;Mayo de 2019;1;Andalucía;18;Granada;37597,42;16389,56;14303,71;1993,68;4909,04
201905;Mayo de 2019;1;Andalucía;21;Huelva;18817,59;8453,05;6724,76;1060,39;2577,15
201905;Mayo de 2019;1;Andalucía;23;Jaén;30095,06;11259,31;11186,51;1230,4;6416,44
201905;Mayo de 2019;1;Andalucía;29;Málaga;56091,24;29761,77;19708,39;2972,1;3646,24
201905;Mayo de 2019;1;Andalucía;41;Sevilla;79123,09;32905,56;29980,66;4680,35;11551,31
201905;Mayo de 2019;2;Aragón;22;Huesca;5486,11;4209,46;1146,75;129,48;0
201905;Mayo de 2019;2;Aragón;44;Teruel;2887,39;1965,61;858;63,78;0
201905;Mayo de 2019;2;Aragón;50;Zaragoza;24890,43;17821,7;6364,65;703,71;0
201905;Mayo de 2019;3;Asturias, Principado de;33;Asturias;27297,7;18383,09;7740,92;1173,69;0
201905;Mayo de 2019;4;Balears, Illes;7;Balears, Illes;26091,78;19304,11;6247,8;539,57;0
