cuenca_hidrografica,embalse_nombre,mes,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cuenca Mediterránea Andaluza,Conde Guadalhorce,4,43.5,66.0,52.6,55.75,33.0,43.25,52.0,59.6,53.5,47.25
Cuenca Mediterránea Andaluza,Conde Guadalhorce,5,41.8,66.0,53.5,54.25,34.2,41.6,53.8,60.0,55.5,46.0
Cuenca Mediterránea Andaluza,Conde Guadalhorce,6,39.75,66.0,52.0,50.0,34.0,38.25,47.25,58.0,55.0,43.2
Cuenca Mediterránea Andaluza,Conde Guadalhorce,7,36.0,63.4,49.0,40.25,31.25,34.75,39.0,56.8,51.0,40.25
Cuenca Mediterránea Andaluza,Conde Guadalhorce,8,32.5,58.75,45.75,43.5,28.2,31.0,29.0,49.75,45.25,35.4
Cuenca Mediterránea Andaluza,Conde Guadalhorce,9,28.75,55.75,42.6,38.8,25.25,27.5,21.25,44.25,39.0,25.75
Cuenca Mediterránea Andaluza,Conde Guadalhorce,10,29.6,51.0,42.0,33.0,23.5,23.6,27.6,42.8,34.0,19.75
Cuenca Mediterránea Andaluza,Conde Guadalhorce,11,48.75,46.25,41.75,33.5,22.2,21.75,48.75,42.0,32.0,17.0
Cuenca Mediterránea Andaluza,Conde Guadalhorce,12,59.0,43.4,48.2,32.4,30.5,21.0,55.5,43.0,33.2,16.0
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,1,11.0,37.75,25.5,22.0,18.0,20.6,9.0,13.5,23.0,15.0
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,2,11.0,35.0,25.25,21.75,18.0,22.75,9.0,14.25,26.5,15.0
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,3,11.0,33.25,24.75,21.8,18.2,22.75,9.25,15.0,28.0,16.0
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,4,11.0,32.2,24.0,22.0,18.0,22.75,10.25,15.2,31.5,18.75
